config_name	algorithm	historical_elapsed	config_rel	logfile	checkpoint_dir
ppo_deep_unroll	ppo	28:12:26	buiksat_trm/configs/hp_tuning/ppo_deep_unroll.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/ppo_deep_unroll_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/ppo_deep_unroll_s42
ppo_strong_reward	ppo	17:49:54	buiksat_trm/configs/hp_tuning/ppo_strong_reward.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/ppo_strong_reward_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/ppo_strong_reward_s42
a2c_high_lr_rollout	a2c	14:02:24	buiksat_trm/configs/hp_tuning/a2c_high_lr_rollout.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_high_lr_rollout_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_high_lr_rollout_s42
ppo_high_entropy	ppo	11:43:31	buiksat_trm/configs/hp_tuning/ppo_high_entropy.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/ppo_high_entropy_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/ppo_high_entropy_s42
a2c_deep_unroll	a2c	9:52:23	buiksat_trm/configs/hp_tuning/a2c_deep_unroll.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_deep_unroll_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_deep_unroll_s42
a2c_high_entropy	a2c	5:57:37	buiksat_trm/configs/hp_tuning/a2c_high_entropy.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_high_entropy_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_high_entropy_s42
a2c_strong_reward	a2c	4:46:27	buiksat_trm/configs/hp_tuning/a2c_strong_reward.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_strong_reward_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/a2c_strong_reward_s42
dqn_deep_unroll	dqn	2:15:30	buiksat_trm/configs/hp_tuning/dqn_deep_unroll.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_deep_unroll_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_deep_unroll_s42
dqn_large_buffer	dqn	2:01:52	buiksat_trm/configs/hp_tuning/dqn_large_buffer.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_large_buffer_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_large_buffer_s42
dqn_strong_reward	dqn	2:01:27	buiksat_trm/configs/hp_tuning/dqn_strong_reward.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_strong_reward_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_strong_reward_s42
dqn_slow_explore	dqn	0:47:21	buiksat_trm/configs/hp_tuning/dqn_slow_explore.yaml	/home/buiksat/trm_bellman/results/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_slow_explore_s42.log	/home/buiksat/trm_bellman/checkpoints/hp_tuning_sweep_post0a96c71_11cfg_seed42/dqn_slow_explore_s42
