method,seed,train_steps,success_rate,mean_return,invalid_action_rate,eval_points,all_eval_success_zero,source
upi_trm,0,20000,0.56,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s0.log
upi_trm,1,20000,0.5,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s1.log
upi_trm,2,20000,0.68,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s2.log
upi_trm,3,20000,0.5,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s3.log
upi_trm,4,20000,0.64,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s4.log
upi_trm,5,20000,0.7,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s5.log
upi_trm,6,20000,0.74,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s6.log
upi_trm,7,20000,0.42,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s7.log
upi_trm,8,20000,0.38,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s8.log
upi_trm,9,20000,0.62,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s9.log
sb3_ppo,0,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed0/train_summary.json
sb3_ppo,1,5000,0.0,-17.546399999999995,0.98,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed1/train_summary.json
sb3_ppo,2,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed2/train_summary.json
sb3_ppo,3,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed3/train_summary.json
sb3_ppo,4,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed4/train_summary.json
sb3_ppo,5,5000,0.0,-17.4456,0.98,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed5/train_summary.json
sb3_ppo,6,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed6/train_summary.json
sb3_ppo,7,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed7/train_summary.json
sb3_ppo,8,5000,0.0,-17.848799999999997,0.92,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed8/train_summary.json
sb3_ppo,9,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/ppo/seed9/train_summary.json
sb3_a2c,0,5000,0.0,-17.831999999999997,0.74,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed0/train_summary.json
sb3_a2c,1,5000,0.0,-18.033599999999996,0.89625,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed1/train_summary.json
sb3_a2c,2,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed2/train_summary.json
sb3_a2c,3,5000,0.0,-17.4624,1.0,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed3/train_summary.json
sb3_a2c,4,5000,0.0,-17.971999999999998,0.7975,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed4/train_summary.json
sb3_a2c,5,5000,0.0,-17.5632,0.98,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed5/train_summary.json
sb3_a2c,6,5000,0.0,-17.6544,0.88,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed6/train_summary.json
sb3_a2c,7,5000,0.0,-18.941199999999995,0.61875,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed7/train_summary.json
sb3_a2c,8,5000,0.0,-18.453599999999998,0.77875,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed8/train_summary.json
sb3_a2c,9,5000,0.0,-19.2096,0.48,50,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4/a2c/seed9/train_summary.json
