method,seed,train_steps,success_rate,mean_return,invalid_action_rate,eval_points,all_eval_success_zero,source
upi_trm,0,20000,0.56,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s0.log
upi_trm,1,20000,0.5,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s1.log
upi_trm,2,20000,0.68,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s2.log
upi_trm,3,20000,0.5,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s3.log
upi_trm,4,20000,0.64,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s4.log
upi_trm,5,20000,0.7,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s5.log
upi_trm,6,20000,0.74,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s6.log
upi_trm,7,20000,0.42,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s7.log
upi_trm,8,20000,0.38,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s8.log
upi_trm,9,20000,0.62,,,,,/home/buiksat/trm_bellman/results/table3_hard_6to8/m1_persistent_nc_nomask_s9.log
sb3_ppo,0,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed0/train_summary.json
sb3_ppo,1,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed1/train_summary.json
sb3_ppo,2,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed2/train_summary.json
sb3_ppo,3,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed3/train_summary.json
sb3_ppo,4,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed4/train_summary.json
sb3_ppo,5,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed5/train_summary.json
sb3_ppo,6,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed6/train_summary.json
sb3_ppo,7,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed7/train_summary.json
sb3_ppo,8,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed8/train_summary.json
sb3_ppo,9,20000,0.0,-17.4624,1.0,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/ppo/seed9/train_summary.json
sb3_a2c,0,20000,0.0,-17.4624,0.92,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed0/train_summary.json
sb3_a2c,1,20000,0.0,-17.815199999999997,0.78,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed1/train_summary.json
sb3_a2c,2,20000,0.0,-18.789599999999997,0.6975,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed2/train_summary.json
sb3_a2c,3,20000,0.0,-17.546399999999995,0.98,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed3/train_summary.json
sb3_a2c,4,20000,0.0,-17.663999999999998,0.91875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed4/train_summary.json
sb3_a2c,5,20000,0.0,-17.983199999999997,0.73875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed5/train_summary.json
sb3_a2c,6,20000,0.0,-17.907999999999998,0.84,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed6/train_summary.json
sb3_a2c,7,20000,0.0,-18.571199999999997,0.66,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed7/train_summary.json
sb3_a2c,8,20000,0.0,-18.252999999999997,0.7,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed8/train_summary.json
sb3_a2c,9,20000,0.0,-18.924,0.59875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/a2c/seed9/train_summary.json
sb3_dqn,0,20000,0.0,-17.882399999999997,0.8575,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed0/train_summary.json
sb3_dqn,1,20000,0.0,-18.0998,0.78,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed1/train_summary.json
sb3_dqn,2,20000,0.0,-18.050399999999996,0.86,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed2/train_summary.json
sb3_dqn,3,20000,0.0,-17.5448,0.92,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed3/train_summary.json
sb3_dqn,4,20000,0.0,-17.966399999999997,0.79875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed4/train_summary.json
sb3_dqn,5,20000,0.0,-17.865599999999997,0.88,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed5/train_summary.json
sb3_dqn,6,20000,0.0,-18.098999999999997,0.84,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed6/train_summary.json
sb3_dqn,7,20000,0.0,-17.747999999999998,0.92,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed7/train_summary.json
sb3_dqn,8,20000,0.0,-17.879199999999997,0.7775,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed8/train_summary.json
sb3_dqn,9,20000,0.0,-18.0168,0.79875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn/seed9/train_summary.json
sb3_dqn_nstep5,0,20000,0.0,-18.385399999999997,0.77875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed0/train_summary.json
sb3_dqn_nstep5,1,20000,0.0,-17.596799999999998,0.91875,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed1/train_summary.json
sb3_dqn_nstep5,2,20000,0.0,-17.613599999999998,0.9,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed2/train_summary.json
sb3_dqn_nstep5,3,20000,0.0,-18.100799999999996,0.83625,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed3/train_summary.json
sb3_dqn_nstep5,4,20000,0.0,-18.151199999999996,0.85625,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed4/train_summary.json
sb3_dqn_nstep5,5,20000,0.0,-18.166399999999996,0.7975,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed5/train_summary.json
sb3_dqn_nstep5,6,20000,0.0,-18.3696,0.81625,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed6/train_summary.json
sb3_dqn_nstep5,7,20000,0.0,-18.033599999999996,0.8375,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed7/train_summary.json
sb3_dqn_nstep5,8,20000,0.0,-18.050399999999996,0.82,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed8/train_summary.json
sb3_dqn_nstep5,9,20000,0.0,-17.798399999999997,0.86,200,True,/home/buiksat/trm_bellman/results/neurips2026/external_hard4x4_20k/dqn_nstep5/seed9/train_summary.json
