model,n2,metric,mean,std,n
model_a,4,delta_V,0.137475312,0.21826781733796363,1000
model_a,4,delta_pi,0.000134384,0.0002969820071048076,1000
model_a,4,delta_z,3.663189592,1.1631926773514194,1000
model_a,4,argmax_agree,0.913,0.2818350581457176,1000
model_a,4,saturated,1.0,0.0,1000
model_a,4,z_pre_norm,31.8365198,0.7355371683524632,1000
model_a,4,z_post_norm,10.0,0.0,1000
model_a,8,delta_V,0.1154235795,0.23281122308005617,2000
model_a,8,delta_pi,0.0001240145,0.0004371335108290715,2000
model_a,8,delta_z,3.016036463,1.8663976835970937,2000
model_a,8,argmax_agree,0.9245,0.2641964231400569,2000
model_a,8,saturated,1.0,0.0,2000
model_a,8,z_pre_norm,31.8691952,0.6074218608816773,2000
model_a,8,z_post_norm,10.0,0.0,2000
model_a,16,delta_V,0.08649201066666666,0.20396545066369423,3000
model_a,16,delta_pi,8.9962e-05,0.00034756247000503374,3000
model_a,16,delta_z,2.280167385,2.0358719738672515,3000
model_a,16,argmax_agree,0.9443333333333334,0.22927688258716553,3000
model_a,16,saturated,1.0,0.0,3000
model_a,16,z_pre_norm,31.894614733333334,0.5170162407342044,3000
model_a,16,z_post_norm,10.0,0.0,3000
model_b,4,delta_V,0.05409376,0.04721356636362477,1000
model_b,4,delta_pi,6.2024e-05,0.00014389229800097016,1000
model_b,4,delta_z,1.467467572,0.2074139058244283,1000
model_b,4,argmax_agree,0.96,0.19595917942265426,1000
model_b,4,saturated,1.0,0.0,1000
model_b,4,z_pre_norm,31.83643,0.7355389371746415,1000
model_b,4,z_post_norm,10.0,0.0,1000
model_b,8,delta_V,0.0376018885,0.0513163878049602,2000
model_b,8,delta_pi,4.32405e-05,0.00015247900071731189,2000
model_b,8,delta_z,0.949378462,0.7542370289506433,2000
model_b,8,argmax_agree,0.975,0.15612494995995996,2000
model_b,8,saturated,1.0,0.0,2000
model_b,8,z_pre_norm,31.86912495,0.6074199169623087,2000
model_b,8,z_post_norm,10.0,0.0,2000
model_b,16,delta_V,0.025631948666666668,0.046876444617121205,3000
model_b,16,delta_pi,2.9133666666666665e-05,0.0001275617254504222,3000
model_b,16,delta_z,0.6403642996666666,0.762663003595004,3000
model_b,16,argmax_agree,0.9833333333333333,0.12801909579781012,3000
model_b,16,saturated,1.0,0.0,3000
model_b,16,z_pre_norm,31.894539966666667,0.5170138075454713,3000
model_b,16,z_post_norm,10.0,0.0,3000
