model,radius,metric,mean,std,n
model_a,0.0,delta_V,2.27513501,1.9854393427155406,10
model_a,0.0,delta_z,36.106016542,4.270435371925068,10
model_a,0.0,argmax_agree,0.473,0.11155965021259055,10
model_a,0.0,delta_pi,0.036424313,0.032200530527489085,10
model_a,0.0,saturated,nan,nan,0
model_a,0.0,z_pre_norm,nan,nan,0
model_a,0.0,z_post_norm,nan,nan,0
model_a,0.0,proj_disp_proxy,nan,nan,0
model_a,0.0,bellman_residual_mean,2.3751845717430116,0.7460621889056208,10
model_a,0.0,hat_Lv,0.06499290093779564,0.021450074833692028,10
model_a,0.0,hat_Lz,1.0097040593624116,0.12692494354435063,10
model_a,5.0,delta_V,0.031669791,0.00726329770516954,10
model_a,5.0,delta_z,0.8100073210000001,0.19447400286350733,10
model_a,5.0,argmax_agree,0.979,0.017288403306519935,10
model_a,5.0,delta_pi,6.4929999999999995e-06,3.249882220088052e-06,10
model_a,5.0,saturated,1.0,0.0,10
model_a,5.0,z_pre_norm,31.8365183,0.7753230180554925,10
model_a,5.0,z_post_norm,5.0,0.0,10
model_a,5.0,proj_disp_proxy,26.8365183,0.7753230180554925,10
model_a,5.0,bellman_residual_mean,1.5829875349998475,0.587589385146013,10
model_a,5.0,hat_Lv,0.07252692729234696,0.02137385339537562,10
model_a,5.0,hat_Lz,0.22291258722543716,0.009740540594774314,10
model_a,10.0,delta_V,0.165768911,0.06370449065477872,10
model_a,10.0,delta_z,4.261551339,0.9092171401337692,10
model_a,10.0,argmax_agree,0.902,0.03910100879630715,10
model_a,10.0,delta_pi,0.000203917,0.00011448417659222605,10
model_a,10.0,saturated,1.0,0.0,10
model_a,10.0,z_pre_norm,31.8365191,0.7753236760958397,10
model_a,10.0,z_post_norm,10.0,0.0,10
model_a,10.0,proj_disp_proxy,21.8365191,0.7753236760958397,10
model_a,10.0,bellman_residual_mean,1.50310817360878,0.5038790296643207,10
model_a,10.0,hat_Lv,0.07033347710967064,0.02329978150828712,10
model_a,10.0,hat_Lz,0.39761837124824523,0.023340167967440574,10
model_a,20.0,delta_V,0.837316743,0.4924577175131079,10
model_a,20.0,delta_z,17.314172776,2.508795526081209,10
model_a,20.0,argmax_agree,0.68,0.08326663997864531,10
model_a,20.0,delta_pi,0.005014541,0.003812422478082378,10
model_a,20.0,saturated,1.0,0.0,10
model_a,20.0,z_pre_norm,31.836516500000002,0.7753215374928507,10
model_a,20.0,z_post_norm,20.0,0.0,10
model_a,20.0,proj_disp_proxy,11.8365165,0.7753215374928506,10
model_a,20.0,bellman_residual_mean,1.6890928030014039,0.563006236604786,10
model_a,20.0,hat_Lv,0.0673770871013403,0.027240576788827374,10
model_a,20.0,hat_Lz,0.7187630951404571,0.05817584680316721,10
model_a,30.0,delta_V,2.074999039,1.7124544425979489,10
model_a,30.0,delta_z,33.137498069,3.980695199287205,10
model_a,30.0,argmax_agree,0.47400000000000003,0.10668749796589208,10
model_a,30.0,delta_pi,0.0289997,0.025058880013822112,10
model_a,30.0,saturated,1.0,0.0,10
model_a,30.0,z_pre_norm,31.836510699999998,0.7753167670560421,10
model_a,30.0,z_post_norm,29.8414,0.3014988888868413,10
model_a,30.0,proj_disp_proxy,1.9951107,0.5494017820526957,10
model_a,30.0,bellman_residual_mean,2.298680901527405,0.7737151595465513,10
model_a,30.0,hat_Lv,0.06520747914910316,0.018189129363853,10
model_a,30.0,hat_Lz,0.9328962445259095,0.08171830710671911,10
model_a,32.0,delta_V,2.298666068,1.9771947145926712,10
model_a,32.0,delta_z,36.060339848,4.246542355705691,10
model_a,32.0,argmax_agree,0.465,0.10276726672978663,10
model_a,32.0,delta_pi,0.036233487,0.03176665974879255,10
model_a,32.0,saturated,1.0,0.0,10
model_a,32.0,z_pre_norm,31.8365108,0.7753168493015258,10
model_a,32.0,z_post_norm,31.533927,0.49437866926409124,10
model_a,32.0,proj_disp_proxy,0.30258380000000035,0.41424269552194753,10
model_a,32.0,bellman_residual_mean,2.3552126288414,0.816902457381532,10
model_a,32.0,hat_Lv,0.05898475348949432,0.017252822726537678,10
model_a,32.0,hat_Lz,0.9956072211265564,0.08026623085997506,10
model_a,34.0,delta_V,2.267204745,1.9860308285199877,10
model_a,34.0,delta_z,36.04063359,4.302112012501398,10
model_a,34.0,argmax_agree,0.472,0.11093541664710448,10
model_a,34.0,delta_pi,0.035954602,0.03190013988782174,10
model_a,34.0,saturated,0.2,0.4216370213557839,10
model_a,34.0,z_pre_norm,31.836511,0.7753170137928526,10
model_a,34.0,z_post_norm,31.71302,0.6374399610943774,10
model_a,34.0,proj_disp_proxy,0.12349099999999921,0.19528633145830795,10
model_a,34.0,bellman_residual_mean,2.601402771472931,1.0818182028876635,10
model_a,34.0,hat_Lv,0.05745887421071529,0.01933037228567204,10
model_a,34.0,hat_Lz,1.035393273830414,0.13420342269778857,10
model_a,40.0,delta_V,2.27513501,1.9854393427155406,10
model_a,40.0,delta_z,36.106016542,4.270435371925068,10
model_a,40.0,argmax_agree,0.473,0.11155965021259055,10
model_a,40.0,delta_pi,0.036424313,0.032200530527489085,10
model_a,40.0,saturated,0.0,0.0,10
model_a,40.0,z_pre_norm,31.8365112,0.7753171782846611,10
model_a,40.0,z_post_norm,31.8365112,0.7753171782846611,10
model_a,40.0,proj_disp_proxy,0.0,0.0,10
model_a,40.0,bellman_residual_mean,2.3751845717430116,0.7460621889056208,10
model_a,40.0,hat_Lv,0.06499290093779564,0.021450074833692028,10
model_a,40.0,hat_Lz,1.0097040593624116,0.12692494354435063,10
model_a,100.0,delta_V,2.27513501,1.9854393427155406,10
model_a,100.0,delta_z,36.106016542,4.270435371925068,10
model_a,100.0,argmax_agree,0.473,0.11155965021259055,10
model_a,100.0,delta_pi,0.036424313,0.032200530527489085,10
model_a,100.0,saturated,0.0,0.0,10
model_a,100.0,z_pre_norm,31.8365112,0.7753171782846611,10
model_a,100.0,z_post_norm,31.8365112,0.7753171782846611,10
model_a,100.0,proj_disp_proxy,0.0,0.0,10
model_a,100.0,bellman_residual_mean,2.3751845717430116,0.7460621889056208,10
model_a,100.0,hat_Lv,0.06499290093779564,0.021450074833692028,10
model_a,100.0,hat_Lz,1.0097040593624116,0.12692494354435063,10
model_b,0.0,delta_V,1.097188408,0.3055409735282677,10
model_b,0.0,delta_z,22.572846282,1.9037101224304183,10
model_b,0.0,argmax_agree,0.647,0.08327331171776732,10
model_b,0.0,delta_pi,0.031623463,0.03480256846378282,10
model_b,0.0,saturated,nan,nan,0
model_b,0.0,z_pre_norm,nan,nan,0
model_b,0.0,z_post_norm,nan,nan,0
model_b,0.0,proj_disp_proxy,nan,nan,0
model_b,0.0,bellman_residual_mean,2.0290460109710695,0.554779782809983,10
model_b,0.0,hat_Lv,0.06475448198616504,0.01932063388866213,10
model_b,0.0,hat_Lz,0.48398261070251464,0.027202387415323943,10
model_b,5.0,delta_V,0.009632031000000001,0.004143934483406507,10
model_b,5.0,delta_z,0.25731215,0.028337047774421472,10
model_b,5.0,argmax_agree,0.994,0.009660917830792967,10
model_b,5.0,delta_pi,1.6420000000000001e-06,2.3726440946758116e-06,10
model_b,5.0,saturated,1.0,0.0,10
model_b,5.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,5.0,z_post_norm,5.0,0.0,10
model_b,5.0,proj_disp_proxy,26.83643,0.7753261164037872,10
model_b,5.0,bellman_residual_mean,1.4336183845996857,0.3757752628534251,10
model_b,5.0,hat_Lv,0.06036758162081242,0.01979617676416053,10
model_b,5.0,hat_Lz,0.1551118016242981,0.005734247335509494,10
model_b,10.0,delta_V,0.064299253,0.02637835073624204,10
model_b,10.0,delta_z,1.672647623,0.17108941182099943,10
model_b,10.0,argmax_agree,0.955,0.025495097567963906,10
model_b,10.0,delta_pi,8.4451e-05,0.00012220562629801008,10
model_b,10.0,saturated,1.0,0.0,10
model_b,10.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,10.0,z_post_norm,10.0,0.0,10
model_b,10.0,proj_disp_proxy,21.83643,0.7753261164037872,10
model_b,10.0,bellman_residual_mean,1.3711989164352416,0.36450169415763756,10
model_b,10.0,hat_Lv,0.0634431803599,0.029826460364678807,10
model_b,10.0,hat_Lz,0.2582873970270157,0.010278094009706173,10
model_b,20.0,delta_V,0.377031466,0.12364549368459771,10
model_b,20.0,delta_z,8.886581897,0.851351203962003,10
model_b,20.0,argmax_agree,0.822,0.08469553313683865,10
model_b,20.0,delta_pi,0.003499385,0.0050570152061715215,10
model_b,20.0,saturated,1.0,0.0,10
model_b,20.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,20.0,z_post_norm,20.0,0.0,10
model_b,20.0,proj_disp_proxy,11.83643,0.7753261164037872,10
model_b,20.0,bellman_residual_mean,1.8103625416755675,0.4216736089010495,10
model_b,20.0,hat_Lv,0.0662982426583767,0.023604843731033366,10
model_b,20.0,hat_Lz,0.39231144487857816,0.01835213849481192,10
model_b,30.0,delta_V,0.9463473010000001,0.2547177536029246,10
model_b,30.0,delta_z,20.033167646,1.6696439167347066,10
model_b,30.0,argmax_agree,0.673,0.09684466370889461,10
model_b,30.0,delta_pi,0.023737493,0.029072481576720183,10
model_b,30.0,saturated,1.0,0.0,10
model_b,30.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,30.0,z_post_norm,29.8414,0.3014988888868413,10
model_b,30.0,proj_disp_proxy,1.9950300000000005,0.5494087853724633,10
model_b,30.0,bellman_residual_mean,2.0890747189521788,0.4765396146987564,10
model_b,30.0,hat_Lv,0.06527900360524655,0.01773858367186609,10
model_b,30.0,hat_Lz,0.4717943429946899,0.02558968051638511,10
model_b,32.0,delta_V,1.07058661,0.2806392261432808,10
model_b,32.0,delta_z,22.231783013,1.7271401224762972,10
model_b,32.0,argmax_agree,0.653,0.0805605362444913,10
model_b,32.0,delta_pi,0.030362875,0.03422488794720923,10
model_b,32.0,saturated,1.0,0.0,10
model_b,32.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,32.0,z_post_norm,31.5338643,0.4944003815065166,10
model_b,32.0,proj_disp_proxy,0.30256570000000077,0.41423857120747676,10
model_b,32.0,bellman_residual_mean,2.0328128814697264,0.5570745448870777,10
model_b,32.0,hat_Lv,0.06508826799690723,0.018706025966627467,10
model_b,32.0,hat_Lz,0.4839766830205917,0.027155240766212604,10
model_b,34.0,delta_V,1.085027004,0.2930803164638917,10
model_b,34.0,delta_z,22.42771824,1.830114945205051,10
model_b,34.0,argmax_agree,0.65,0.08110350040397625,10
model_b,34.0,delta_pi,0.031002938,0.03444037427232843,10
model_b,34.0,saturated,0.2,0.4216370213557839,10
model_b,34.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,34.0,z_post_norm,31.712960000000002,0.6374700066146911,10
model_b,34.0,proj_disp_proxy,0.12347000000000001,0.19525615113372344,10
model_b,34.0,bellman_residual_mean,2.030880081653595,0.5557364722132466,10
model_b,34.0,hat_Lv,0.06489753313362598,0.019092615208889736,10
model_b,34.0,hat_Lz,0.4839871793985367,0.02721801447193194,10
model_b,40.0,delta_V,1.097188408,0.3055409735282677,10
model_b,40.0,delta_z,22.572846282,1.9037101224304183,10
model_b,40.0,argmax_agree,0.647,0.08327331171776732,10
model_b,40.0,delta_pi,0.031623463,0.03480256846378282,10
model_b,40.0,saturated,0.0,0.0,10
model_b,40.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,40.0,z_post_norm,31.83643,0.7753261164037872,10
model_b,40.0,proj_disp_proxy,0.0,0.0,10
