model,radius,metric,mean,std,n
model_a,0.0,delta_V,2.2751351140000002,1.9854390719763808,10
model_a,0.0,delta_z,36.106016293,4.2704346114815115,10
model_a,0.0,argmax_agree,0.473,0.11155965021259055,10
model_a,0.0,delta_pi,0.036424297,0.03220053077224075,10
model_a,0.0,saturated,nan,nan,0
model_a,0.0,z_pre_norm,nan,nan,0
model_a,0.0,z_post_norm,nan,nan,0
model_a,0.0,proj_disp_proxy,nan,nan,0
model_a,5.0,delta_V,0.031669776,0.007263307054234547,10
model_a,5.0,delta_z,0.8100073210000001,0.19447400286350733,10
model_a,5.0,argmax_agree,0.979,0.017288403306519935,10
model_a,5.0,delta_pi,6.495e-06,3.241317461910957e-06,10
model_a,5.0,saturated,1.0,0.0,10
model_a,5.0,z_pre_norm,31.8365183,0.7753230180554925,10
model_a,5.0,z_post_norm,5.0,0.0,10
model_a,5.0,proj_disp_proxy,26.8365183,0.7753230180554925,10
model_a,10.0,delta_V,0.16576889,0.06370447343295725,10
model_a,10.0,delta_z,4.261551218,0.909217017077428,10
model_a,10.0,argmax_agree,0.902,0.03910100879630715,10
model_a,10.0,delta_pi,0.000203904,0.00011448926346557083,10
model_a,10.0,saturated,1.0,0.0,10
model_a,10.0,z_pre_norm,31.836519799999998,0.7753242518874564,10
model_a,10.0,z_post_norm,10.0,0.0,10
model_a,10.0,proj_disp_proxy,21.8365198,0.7753242518874567,10
model_a,20.0,delta_V,0.837316721,0.49245771909301567,10
model_a,20.0,delta_z,17.314172776,2.508795526081209,10
model_a,20.0,argmax_agree,0.68,0.08326663997864531,10
model_a,20.0,delta_pi,0.005014551,0.0038124145241899454,10
model_a,20.0,saturated,1.0,0.0,10
model_a,20.0,z_pre_norm,31.836516500000002,0.7753215374928507,10
model_a,20.0,z_post_norm,20.0,0.0,10
model_a,20.0,proj_disp_proxy,11.8365165,0.7753215374928506,10
model_a,30.0,delta_V,2.074999047,1.7124544824314518,10
model_a,30.0,delta_z,33.137498069,3.980695199287205,10
model_a,30.0,argmax_agree,0.47400000000000003,0.10668749796589208,10
model_a,30.0,delta_pi,0.0289997,0.025058882448044023,10
model_a,30.0,saturated,1.0,0.0,10
model_a,30.0,z_pre_norm,31.836510699999998,0.7753167670560421,10
model_a,30.0,z_post_norm,29.8414,0.3014988888868413,10
model_a,30.0,proj_disp_proxy,1.9951107,0.5494017820526957,10
model_a,32.0,delta_V,2.298666082,1.977194701294305,10
model_a,32.0,delta_z,36.060339848,4.246542355705691,10
model_a,32.0,argmax_agree,0.465,0.10276726672978663,10
model_a,32.0,delta_pi,0.036233488,0.031766652228847995,10
model_a,32.0,saturated,1.0,0.0,10
model_a,32.0,z_pre_norm,31.8365108,0.7753168493015258,10
model_a,32.0,z_post_norm,31.533927,0.49437866926409124,10
model_a,32.0,proj_disp_proxy,0.30258380000000035,0.41424269552194753,10
model_a,34.0,delta_V,2.26720474,1.986030817764594,10
model_a,34.0,delta_z,36.04063359,4.302112012501398,10
model_a,34.0,argmax_agree,0.472,0.11093541664710448,10
model_a,34.0,delta_pi,0.035954595,0.03190013511976478,10
model_a,34.0,saturated,0.2,0.4216370213557839,10
model_a,34.0,z_pre_norm,31.836511,0.7753170137928526,10
model_a,34.0,z_post_norm,31.71302,0.6374399610943774,10
model_a,34.0,proj_disp_proxy,0.12349099999999921,0.19528633145830795,10
model_a,40.0,delta_V,2.2751350169999998,1.985439325988779,10
model_a,40.0,delta_z,36.106016542,4.270435371925068,10
model_a,40.0,argmax_agree,0.473,0.11155965021259055,10
model_a,40.0,delta_pi,0.036424294,0.03220052933251191,10
model_a,40.0,saturated,0.0,0.0,10
model_a,40.0,z_pre_norm,31.8365112,0.7753171782846611,10
model_a,40.0,z_post_norm,31.8365112,0.7753171782846611,10
model_a,40.0,proj_disp_proxy,0.0,0.0,10
model_a,100.0,delta_V,2.2751351140000002,1.9854390719763808,10
model_a,100.0,delta_z,36.106016293,4.2704346114815115,10
model_a,100.0,argmax_agree,0.473,0.11155965021259055,10
model_a,100.0,delta_pi,0.036424297,0.03220053077224075,10
model_a,100.0,saturated,0.0,0.0,10
model_a,100.0,z_pre_norm,31.836511,0.7753170137928526,10
model_a,100.0,z_post_norm,31.836511,0.7753170137928526,10
model_a,100.0,proj_disp_proxy,0.0,0.0,10
model_b,0.0,delta_V,1.097188325,0.3055410115269746,10
model_b,0.0,delta_z,22.572846055,1.903710171595317,10
model_b,0.0,argmax_agree,0.647,0.08327331171776732,10
model_b,0.0,delta_pi,0.031623461,0.03480257124429121,10
model_b,0.0,saturated,nan,nan,0
model_b,0.0,z_pre_norm,nan,nan,0
model_b,0.0,z_post_norm,nan,nan,0
model_b,0.0,proj_disp_proxy,nan,nan,0
model_b,5.0,delta_V,0.00963204,0.004143909028114503,10
model_b,5.0,delta_z,0.25731215,0.028337047774421472,10
model_b,5.0,argmax_agree,0.994,0.009660917830792967,10
model_b,5.0,delta_pi,1.649e-06,2.384214056385598e-06,10
model_b,5.0,saturated,1.0,0.0,10
model_b,5.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,5.0,z_post_norm,5.0,0.0,10
model_b,5.0,proj_disp_proxy,26.83643,0.7753261164037872,10
model_b,10.0,delta_V,0.064299277,0.026378338428402048,10
model_b,10.0,delta_z,1.672647657,0.1710894215643723,10
model_b,10.0,argmax_agree,0.955,0.025495097567963906,10
model_b,10.0,delta_pi,8.4455e-05,0.00012220619590129898,10
model_b,10.0,saturated,1.0,0.0,10
model_b,10.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,10.0,z_post_norm,10.0,0.0,10
model_b,10.0,proj_disp_proxy,21.83643,0.7753261164037872,10
model_b,20.0,delta_V,0.377031454,0.12364553185105785,10
model_b,20.0,delta_z,8.886581897,0.851351203962003,10
model_b,20.0,argmax_agree,0.822,0.08469553313683865,10
model_b,20.0,delta_pi,0.003499383,0.005057030150148624,10
model_b,20.0,saturated,1.0,0.0,10
model_b,20.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,20.0,z_post_norm,20.0,0.0,10
model_b,20.0,proj_disp_proxy,11.83643,0.7753261164037872,10
model_b,30.0,delta_V,0.9463473339999999,0.25471776371637767,10
model_b,30.0,delta_z,20.033167646,1.6696439167347066,10
model_b,30.0,argmax_agree,0.673,0.09684466370889461,10
model_b,30.0,delta_pi,0.023737496,0.029072483986778898,10
model_b,30.0,saturated,1.0,0.0,10
model_b,30.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,30.0,z_post_norm,29.8414,0.3014988888868413,10
model_b,30.0,proj_disp_proxy,1.9950300000000005,0.5494087853724633,10
model_b,32.0,delta_V,1.0705866290000001,0.28063918420732303,10
model_b,32.0,delta_z,22.231783013,1.7271401224762972,10
model_b,32.0,argmax_agree,0.653,0.0805605362444913,10
model_b,32.0,delta_pi,0.030362874,0.03422489668065346,10
model_b,32.0,saturated,1.0,0.0,10
model_b,32.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,32.0,z_post_norm,31.5338643,0.4944003815065166,10
model_b,32.0,proj_disp_proxy,0.30256570000000077,0.41423857120747676,10
model_b,34.0,delta_V,1.085027002,0.2930802950960156,10
model_b,34.0,delta_z,22.42771824,1.830114945205051,10
model_b,34.0,argmax_agree,0.65,0.08110350040397625,10
model_b,34.0,delta_pi,0.031002932,0.0344403807710122,10
model_b,34.0,saturated,0.2,0.4216370213557839,10
model_b,34.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,34.0,z_post_norm,31.712960000000002,0.6374700066146911,10
model_b,34.0,proj_disp_proxy,0.12347000000000001,0.19525615113372344,10
model_b,40.0,delta_V,1.097188417,0.3055409684386707,10
model_b,40.0,delta_z,22.572846282,1.9037101224304183,10
model_b,40.0,argmax_agree,0.647,0.08327331171776732,10
model_b,40.0,delta_pi,0.031623462,0.03480257651856949,10
model_b,40.0,saturated,0.0,0.0,10
model_b,40.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,40.0,z_post_norm,31.83643,0.7753261164037872,10
model_b,40.0,proj_disp_proxy,0.0,0.0,10
model_b,100.0,delta_V,1.097188325,0.3055410115269746,10
model_b,100.0,delta_z,22.572846055,1.903710171595317,10
model_b,100.0,argmax_agree,0.647,0.08327331171776732,10
model_b,100.0,delta_pi,0.031623461,0.03480257124429121,10
model_b,100.0,saturated,0.0,0.0,10
model_b,100.0,z_pre_norm,31.83643,0.7753261164037872,10
model_b,100.0,z_post_norm,31.83643,0.7753261164037872,10
model_b,100.0,proj_disp_proxy,0.0,0.0,10
