algorithm,seed,success_rate_final,success_rate_peak,peak_step,steps_to_100,mean_score_final,run_id
upi_trm,42,0.32,0.32,200,N/A,14.52,42
upi_trm,42,0.36,0.42,1300,N/A,12.96,42_20260109_140406_progress
upi_trm,42,0.42,0.46,4800,N/A,14.8,42_20260108_223720
upi_trm,42,0.32,0.32,200,N/A,14.52,seed_42_progress_test
upi_trm,123,0.84,0.88,4200,N/A,15.64,123_20260109
upi_trm,456,0.32,0.4,4500,N/A,14.64,456_20260109
ppo,42,0.16,0.22,3600,N/A,11.32,42
ppo,42,0.16,0.22,3600,N/A,11.32,42_20260108_223720
ppo,123,0.2,0.2,4500,N/A,10.4,123_20260109
a2c,42,0.24,0.24,2000,N/A,11.6,42_20260109_140406_progress
a2c,42,0.26,0.28,3600,N/A,13.44,42_20260108_223720
a2c,123,0.3,0.36,3700,N/A,13.94,123_20260108_232157
a2c,456,0.28,0.32,4200,N/A,13.82,456_20260109
dqn,42,0.28,0.28,500,N/A,13.58,42_dqn_progress_test
dqn,42,0.08,0.2,300,N/A,9.16,42_20260109_140406_progress
dqn,42,0.12,0.22,4900,N/A,10.68,42_20260108_223720
dqn,123,0.04,0.26,600,N/A,10.78,123_20260108_232157
dqn,456,0.14,0.22,400,N/A,11.84,456_20260109
ablation_no_conservative,42,0.28,0.36,500,N/A,11.02,42_20260109
ablation_no_contraction,42,0.92,0.94,2900,N/A,15.68,42_20260109
ablation_persistent_z,42,0.32,0.38,800,N/A,11.82,42_20260109_140406_progress
ablation_persistent_z,42,0.4,0.48,4400,N/A,14.76,42_20260109_110124
ablation_persistent_z,123,0.86,0.92,4300,N/A,15.66,123_20260109_111219
ablation_persistent_z,456,0.32,0.36,400,N/A,12.06,456_20260109_112746
ablation_persistent_z_no_contraction,42,0.96,0.96,5000,N/A,15.96,42_20260109_141330
ablation_persistent_z_no_contraction,123,0.92,0.92,3000,N/A,15.92,123_20260109_141330
ablation_persistent_z_no_contraction,456,0.92,0.92,2800,N/A,15.88,456_20260109_144028
