algorithm,seed,step,success_rate
PPO-TRM,42,500,0.920
PPO-TRM,42,1000,0.980
PPO-TRM,42,1500,0.960
PPO-TRM,42,2000,1.000
PPO-TRM,42,2500,1.000
PPO-TRM,42,3000,1.000
PPO-TRM,42,3500,1.000
PPO-TRM,42,4000,1.000
PPO-TRM,42,4500,1.000
PPO-TRM,42,5000,1.000
PPO-TRM,123,100,0.560
PPO-TRM,123,200,0.780
PPO-TRM,123,300,0.940
PPO-TRM,123,400,0.820
PPO-TRM,123,500,0.720
PPO-TRM,123,600,0.840
PPO-TRM,123,700,0.820
PPO-TRM,123,800,0.860
PPO-TRM,123,900,0.820
PPO-TRM,123,1000,0.920
PPO-TRM,123,1500,0.920
PPO-TRM,123,2000,1.000
PPO-TRM,123,2500,1.000
PPO-TRM,123,3000,1.000
PPO-TRM,123,3500,1.000
PPO-TRM,123,4000,1.000
PPO-TRM,123,4500,1.000
PPO-TRM,123,5000,1.000
PPO-TRM,456,100,0.840
PPO-TRM,456,200,0.760
PPO-TRM,456,300,0.800
PPO-TRM,456,400,0.920
PPO-TRM,456,500,0.860
PPO-TRM,456,600,0.840
PPO-TRM,456,700,0.900
PPO-TRM,456,800,0.880
PPO-TRM,456,900,0.960
PPO-TRM,456,1000,0.880
PPO-TRM,456,1500,0.980
PPO-TRM,456,1900,1.000
PPO-TRM,456,2000,0.960
PPO-TRM,456,2500,1.000
PPO-TRM,456,3000,1.000
PPO-TRM,456,3500,1.000
PPO-TRM,456,4000,1.000
PPO-TRM,456,4500,1.000
PPO-TRM,456,5000,1.000
A2C-TRM,42,500,0.560
A2C-TRM,42,1000,0.540
A2C-TRM,42,1500,0.600
A2C-TRM,42,2000,0.460
A2C-TRM,42,2500,0.580
A2C-TRM,42,3000,0.580
A2C-TRM,42,3500,0.580
A2C-TRM,42,4000,0.600
A2C-TRM,42,4500,0.580
A2C-TRM,42,5000,0.560
A2C-TRM,123,100,0.380
A2C-TRM,123,200,0.400
A2C-TRM,123,300,0.500
A2C-TRM,123,400,0.500
A2C-TRM,123,500,1.000
A2C-TRM,123,1000,0.640
A2C-TRM,123,1500,1.000
A2C-TRM,123,2000,1.000
A2C-TRM,123,2500,1.000
A2C-TRM,123,3000,1.000
A2C-TRM,123,3500,1.000
A2C-TRM,123,4000,1.000
A2C-TRM,123,4500,1.000
A2C-TRM,123,5000,1.000
A2C-TRM,456,100,0.480
A2C-TRM,456,200,0.540
A2C-TRM,456,500,0.460
A2C-TRM,456,1000,0.480
A2C-TRM,456,1500,0.620
A2C-TRM,456,2000,0.580
A2C-TRM,456,2500,0.520
A2C-TRM,456,3000,0.620
A2C-TRM,456,3500,0.640
A2C-TRM,456,4000,0.460
A2C-TRM,456,4500,0.420
A2C-TRM,456,5000,0.680
DQN-TRM,42,500,0.540
DQN-TRM,42,1000,0.500
DQN-TRM,42,1500,0.680
DQN-TRM,42,2000,0.600
DQN-TRM,42,2500,0.460
DQN-TRM,42,3000,0.320
DQN-TRM,42,3500,0.220
DQN-TRM,42,4000,0.320
DQN-TRM,42,4500,0.260
DQN-TRM,42,5000,0.580
DQN-TRM,456,100,0.320
DQN-TRM,456,200,0.360
DQN-TRM,456,500,0.580
DQN-TRM,456,1000,0.600
DQN-TRM,456,1500,0.600
DQN-TRM,456,2000,0.540
DQN-TRM,456,2500,0.480
DQN-TRM,456,3000,0.340
DQN-TRM,456,3500,0.360
DQN-TRM,456,4000,0.440
DQN-TRM,456,4500,0.380
DQN-TRM,456,5000,0.360
UPI-TRM,42,100,0.280
UPI-TRM,42,200,0.260
UPI-TRM,42,500,0.300
UPI-TRM,42,1000,0.260
UPI-TRM,42,1500,0.320
UPI-TRM,42,2000,0.260
UPI-TRM,42,2500,0.300
UPI-TRM,42,3000,0.380
UPI-TRM,42,3500,0.300
UPI-TRM,42,4000,0.320
UPI-TRM,42,4500,0.360
UPI-TRM,42,5000,0.300
UPI-TRM,123,100,0.280
UPI-TRM,123,200,0.340
UPI-TRM,123,500,0.320
UPI-TRM,123,1000,0.380
UPI-TRM,123,1500,0.300
UPI-TRM,123,2000,0.360
UPI-TRM,123,2500,0.400
UPI-TRM,123,3000,0.360
UPI-TRM,123,3500,0.360
UPI-TRM,123,4000,0.380
UPI-TRM,123,4500,0.340
UPI-TRM,123,5000,0.320
UPI-TRM,456,100,0.240
UPI-TRM,456,200,0.240
UPI-TRM,456,500,0.260
UPI-TRM,456,1000,0.260
UPI-TRM,456,1500,0.300
UPI-TRM,456,2000,0.280
UPI-TRM,456,2500,0.280
UPI-TRM,456,3000,0.300
UPI-TRM,456,3500,0.280
UPI-TRM,456,4000,0.340
UPI-TRM,456,4500,0.360
UPI-TRM,456,5000,0.260
No-Theory,42,100,0.440
No-Theory,42,200,0.560
No-Theory,42,300,0.880
No-Theory,42,400,0.800
No-Theory,42,500,0.900
No-Theory,42,600,0.960
No-Theory,42,700,0.920
No-Theory,42,800,0.980
No-Theory,42,900,0.980
No-Theory,42,1000,0.980
No-Theory,42,1200,1.000
No-Theory,42,1500,1.000
No-Theory,42,2000,1.000
No-Theory,42,2500,1.000
No-Theory,42,3000,1.000
No-Theory,42,3500,1.000
No-Theory,42,4000,1.000
No-Theory,42,4500,1.000
No-Theory,42,5000,1.000
