step,seed,success_rate,mean_score
100,42,0.0,6.0
200,42,0.0,6.26
300,42,0.0,6.28
400,42,0.0,6.64
500,42,0.0,6.06
600,42,0.0,6.18
700,42,0.0,6.36
800,42,0.0,5.32
900,42,0.0,5.48
1000,42,0.0,4.72
1100,42,0.0,4.66
1200,42,0.0,5.06
1300,42,0.0,4.6
1400,42,0.0,4.16
1500,42,0.0,4.04
1600,42,0.0,5.18
1700,42,0.0,5.98
1800,42,0.0,5.92
1900,42,0.0,5.36
2000,42,0.0,4.98
2100,42,0.0,5.08
2200,42,0.0,5.2
2300,42,0.0,5.2
2400,42,0.0,5.22
2500,42,0.0,4.66
2600,42,0.0,4.66
2700,42,0.0,4.42
2800,42,0.0,4.22
2900,42,0.0,4.42
3000,42,0.0,5.22
3100,42,0.0,5.22
3200,42,0.0,4.76
3300,42,0.0,4.42
3400,42,0.0,4.36
3500,42,0.0,4.24
3600,42,0.0,4.42
3700,42,0.0,4.26
3800,42,0.0,3.72
3900,42,0.0,3.06
4000,42,0.0,3.28
4100,42,0.0,4.08
4200,42,0.0,4.78
4300,42,0.0,4.62
4400,42,0.0,3.7
4500,42,0.0,2.36
4600,42,0.0,2.2
4700,42,0.0,-0.46
4800,42,0.0,2.58
4900,42,0.0,1.16
5000,42,0.0,-3.2
5100,42,0.0,-3.5
5200,42,0.0,-4.32
5300,42,0.0,-3.52
5400,42,0.0,-2.86
5500,42,0.0,-1.56
5600,42,0.0,1.12
5700,42,0.0,0.08
5800,42,0.0,3.52
5900,42,0.0,1.28
6000,42,0.0,4.5
6100,42,0.0,5.22
6200,42,0.0,5.12
6300,42,0.0,5.56
6400,42,0.0,6.04
6500,42,0.0,6.02
6600,42,0.0,6.24
6700,42,0.0,6.66
6800,42,0.0,6.76
6900,42,0.0,6.78
7000,42,0.0,6.72
7100,42,0.0,6.74
7200,42,0.0,6.7
7300,42,0.0,6.28
7400,42,0.0,6.0
7500,42,0.0,5.76
7600,42,0.0,5.56
7700,42,0.0,5.56
