step,seed,success_rate,mean_score
100,42,0.0,5.58
200,42,0.0,7.32
300,42,0.0,6.9
400,42,0.0,8.28
500,42,0.0,8.52
600,42,0.0,8.84
700,42,0.0,9.68
800,42,0.0,9.8
900,42,0.0,9.8
1000,42,0.0,10.0
1100,42,0.0,10.04
1200,42,0.0,9.96
1300,42,0.0,10.0
1400,42,0.0,9.96
1500,42,0.0,10.0
1600,42,0.0,9.92
1700,42,0.0,9.92
1800,42,0.0,9.98
1900,42,0.0,9.96
2000,42,0.0,10.06
2100,42,0.0,10.02
2200,42,0.0,10.0
2300,42,0.0,10.02
2400,42,0.0,10.04
2500,42,0.0,10.04
2600,42,0.0,9.76
2700,42,0.0,10.0
2800,42,0.0,10.0
2900,42,0.0,10.0
3000,42,0.0,10.02
3100,42,0.0,10.08
3200,42,0.0,10.04
3300,42,0.0,10.04
3400,42,0.0,10.08
3500,42,0.0,10.04
3600,42,0.0,10.06
3700,42,0.0,10.04
3800,42,0.0,10.0
3900,42,0.0,10.0
4000,42,0.0,10.08
4100,42,0.0,10.08
4200,42,0.0,10.1
4300,42,0.0,10.16
4400,42,0.0,10.1
4500,42,0.0,10.04
4600,42,0.0,10.06
4700,42,0.0,10.02
4800,42,0.0,10.04
4900,42,0.0,10.08
5000,42,0.0,10.06
5100,42,0.0,10.08
5200,42,0.0,10.06
5300,42,0.0,10.14
5400,42,0.0,10.1
5500,42,0.0,10.12
5600,42,0.0,10.08
5700,42,0.0,10.1
5800,42,0.0,10.14
5900,42,0.0,10.18
6000,42,0.0,10.16
6100,42,0.0,10.18
6200,42,0.0,10.14
6300,42,0.0,10.12
6400,42,0.0,10.22
6500,42,0.0,10.22
6600,42,0.0,10.1
6700,42,0.0,10.14
6800,42,0.0,10.16
6900,42,0.0,10.24
7000,42,0.0,10.18
7100,42,0.0,10.06
7200,42,0.0,10.14
7300,42,0.0,10.14
7400,42,0.0,10.16
7500,42,0.0,10.16
7600,42,0.0,10.14
7700,42,0.0,10.12
7800,42,0.0,10.14
7900,42,0.0,10.12
8000,42,0.0,10.16
8100,42,0.0,10.08
8200,42,0.0,10.12
8300,42,0.0,10.1
8400,42,0.0,10.08
8500,42,0.0,10.12
8600,42,0.0,10.14
8700,42,0.0,10.14
8800,42,0.0,10.0
8900,42,0.0,10.12
9000,42,0.0,10.12
9100,42,0.0,10.04
9200,42,0.0,10.3
