step,seed,success_rate,mean_score
100,42,0.0,5.54
200,42,0.0,6.72
300,42,0.0,7.3
400,42,0.0,8.62
500,42,0.0,9.1
600,42,0.0,8.92
700,42,0.0,8.76
800,42,0.0,9.5
900,42,0.0,9.52
1000,42,0.0,9.52
1100,42,0.0,9.96
1200,42,0.0,10.02
1300,42,0.0,9.9
1400,42,0.0,9.98
1500,42,0.0,9.96
1600,42,0.0,10.02
1700,42,0.0,10.0
1800,42,0.0,9.96
1900,42,0.0,10.0
2000,42,0.0,10.0
2100,42,0.0,10.04
2200,42,0.0,10.04
2300,42,0.0,10.0
2400,42,0.0,10.0
2500,42,0.0,10.0
2600,42,0.0,10.04
2700,42,0.0,10.0
2800,42,0.0,10.0
2900,42,0.0,10.0
3000,42,0.0,10.0
3100,42,0.0,10.0
3200,42,0.0,10.0
3300,42,0.0,10.0
3400,42,0.0,10.04
3500,42,0.0,10.0
3600,42,0.0,10.0
3700,42,0.0,10.0
3800,42,0.0,10.0
3900,42,0.0,10.04
4000,42,0.0,10.04
4100,42,0.0,10.0
4200,42,0.0,10.02
4300,42,0.0,10.04
4400,42,0.0,10.0
4500,42,0.0,10.0
4600,42,0.0,10.0
4700,42,0.0,10.02
4800,42,0.0,10.0
4900,42,0.0,10.0
5000,42,0.0,10.0
5100,42,0.0,10.0
5200,42,0.0,10.0
5300,42,0.0,10.0
5400,42,0.0,10.0
5500,42,0.0,10.0
5600,42,0.0,10.06
5700,42,0.0,10.0
5800,42,0.0,10.04
5900,42,0.0,10.0
6000,42,0.0,10.02
6100,42,0.0,10.0
6200,42,0.0,10.0
6300,42,0.0,10.04
6400,42,0.0,10.04
6500,42,0.0,10.0
6600,42,0.0,10.02
6700,42,0.0,10.04
6800,42,0.0,10.04
6900,42,0.0,10.0
7000,42,0.0,10.02
7100,42,0.0,10.08
7200,42,0.0,10.0
7300,42,0.0,10.04
7400,42,0.0,10.06
7500,42,0.0,10.04
7600,42,0.0,10.0
7700,42,0.0,10.02
7800,42,0.0,10.1
7900,42,0.0,10.04
8000,42,0.0,10.0
8100,42,0.0,10.1
8200,42,0.0,10.06
8300,42,0.0,10.04
8400,42,0.0,10.16
8500,42,0.0,10.0
8600,42,0.0,10.06
8700,42,0.0,10.1
8800,42,0.0,10.12
8900,42,0.0,10.1
9000,42,0.0,10.1
9100,42,0.0,10.04
9200,42,0.0,10.06
9300,42,0.0,10.2
9400,42,0.0,10.12
9500,42,0.0,10.12
9600,42,0.0,10.04
9700,42,0.0,10.12
9800,42,0.0,10.18
9900,42,0.0,10.12
10000,42,0.0,10.14
10100,42,0.0,10.08
10200,42,0.0,10.14
10300,42,0.0,10.1
10400,42,0.0,10.12
10500,42,0.0,10.32
10600,42,0.0,10.16
10700,42,0.0,10.16
10800,42,0.0,10.2
10900,42,0.0,10.22
11000,42,0.0,10.24
11100,42,0.0,10.1
11200,42,0.0,10.2
11300,42,0.0,10.24
11400,42,0.0,10.16
11500,42,0.0,10.1
11600,42,0.0,10.26
11700,42,0.0,10.3
11800,42,0.0,10.22
11900,42,0.0,10.22
12000,42,0.0,10.18
12100,42,0.0,10.32
12200,42,0.0,10.28
12300,42,0.0,10.24
12400,42,0.0,10.28
12500,42,0.0,10.1
12600,42,0.0,10.24
12700,42,0.0,10.22
12800,42,0.0,10.22
12900,42,0.0,10.24
13000,42,0.0,10.26
13100,42,0.0,10.24
13200,42,0.0,10.22
13300,42,0.0,10.2
13400,42,0.0,10.22
13500,42,0.0,10.2
13600,42,0.0,10.24
13700,42,0.0,10.3
13800,42,0.0,10.32
13900,42,0.0,10.22
14000,42,0.0,10.36
14100,42,0.0,10.38
14200,42,0.0,10.32
14300,42,0.0,10.42
14400,42,0.0,10.24
14500,42,0.0,10.22
14600,42,0.0,10.2
14700,42,0.0,10.22
14800,42,0.0,10.32
14900,42,0.0,10.28
15000,42,0.0,10.32
15100,42,0.0,10.24
15200,42,0.0,10.26
15300,42,0.0,10.4
15400,42,0.0,10.32
15500,42,0.0,10.32
15600,42,0.0,10.3
15700,42,0.0,10.32
15800,42,0.0,10.44
15900,42,0.0,10.26
16000,42,0.0,10.3
16100,42,0.0,10.28
16200,42,0.0,10.26
16300,42,0.0,10.32
16400,42,0.0,10.26
