step,seed,success_rate,mean_score
100,42,0.0,7.08
200,42,0.0,6.9
300,42,0.0,6.94
400,42,0.0,6.8
500,42,0.0,7.26
600,42,0.0,6.54
700,42,0.0,5.82
800,42,0.0,5.62
900,42,0.0,4.98
1000,42,0.0,5.7
1100,42,0.0,5.68
1200,42,0.0,5.78
1300,42,0.0,5.74
1400,42,0.0,5.96
1500,42,0.0,6.3
1600,42,0.0,6.18
1700,42,0.0,4.9
1800,42,0.0,4.62
1900,42,0.0,4.36
2000,42,0.0,4.92
2100,42,0.0,4.58
2200,42,0.0,4.4
2300,42,0.0,4.32
2400,42,0.0,4.64
2500,42,0.0,4.46
2600,42,0.0,4.3
2700,42,0.0,4.86
2800,42,0.0,4.94
2900,42,0.0,5.0
3000,42,0.0,4.88
3100,42,0.0,4.82
3200,42,0.0,4.64
3300,42,0.0,4.46
3400,42,0.0,5.78
3500,42,0.0,5.38
3600,42,0.0,5.7
3700,42,0.0,5.0
3800,42,0.0,4.7
3900,42,0.0,4.94
4000,42,0.0,4.44
4100,42,0.0,4.84
4200,42,0.0,4.78
4300,42,0.0,5.42
4400,42,0.0,5.04
4500,42,0.0,4.82
4600,42,0.0,5.38
4700,42,0.0,5.1
4800,42,0.0,4.9
4900,42,0.0,5.06
5000,42,0.0,4.52
5100,42,0.0,4.58
5200,42,0.0,5.14
5300,42,0.0,4.7
5400,42,0.0,4.84
5500,42,0.0,4.92
5600,42,0.0,5.4
5700,42,0.0,5.8
5800,42,0.0,5.92
5900,42,0.0,5.78
6000,42,0.0,4.74
6100,42,0.0,5.2
6200,42,0.0,5.1
6300,42,0.0,5.12
6400,42,0.0,4.94
6500,42,0.0,5.02
6600,42,0.0,5.66
6700,42,0.0,6.52
6800,42,0.0,6.46
6900,42,0.0,6.26
7000,42,0.0,6.38
7100,42,0.0,6.66
7200,42,0.0,7.42
7300,42,0.0,7.24
7400,42,0.0,6.94
7500,42,0.0,7.76
7600,42,0.0,7.84
7700,42,0.0,7.76
7800,42,0.0,5.52
7900,42,0.0,8.44
8000,42,0.0,7.1
8100,42,0.0,8.0
8200,42,0.0,6.24
8300,42,0.0,7.2
8400,42,0.0,5.74
8500,42,0.0,6.26
8600,42,0.0,8.12
8700,42,0.0,8.66
8800,42,0.0,8.54
8900,42,0.0,5.38
9000,42,0.0,8.12
9100,42,0.0,5.38
9200,42,0.0,6.18
9300,42,0.0,8.96
9400,42,0.0,9.08
9500,42,0.0,8.4
9600,42,0.0,7.74
9700,42,0.0,5.74
9800,42,0.0,7.36
9900,42,0.0,5.98
10000,42,0.0,6.1
10100,42,0.0,6.18
10200,42,0.0,7.54
10300,42,0.0,7.84
10400,42,0.0,7.88
10500,42,0.0,6.32
10600,42,0.0,8.84
10700,42,0.0,5.5
10800,42,0.0,8.64
10900,42,0.0,8.92
11000,42,0.0,9.26
11100,42,0.0,8.94
11200,42,0.0,6.88
11300,42,0.0,7.66
11400,42,0.0,7.72
11500,42,0.0,8.82
11600,42,0.0,8.74
11700,42,0.0,8.3
11800,42,0.0,9.16
11900,42,0.0,6.24
12000,42,0.0,5.24
12100,42,0.0,7.64
12200,42,0.0,8.52
12300,42,0.0,8.68
12400,42,0.0,6.38
12500,42,0.0,9.38
12600,42,0.0,8.74
12700,42,0.0,9.06
12800,42,0.0,8.72
12900,42,0.0,8.24
13000,42,0.0,5.6
13100,42,0.0,6.7
13200,42,0.0,5.94
13300,42,0.0,7.32
13400,42,0.0,5.86
13500,42,0.0,7.82
13600,42,0.0,6.34
13700,42,0.0,8.34
13800,42,0.0,5.76
13900,42,0.0,8.46
14000,42,0.0,6.0
14100,42,0.0,7.72
14200,42,0.0,7.58
