step,seed,success_rate,mean_score
100,42,0.0,4.24
200,42,0.0,7.94
300,42,0.0,8.96
400,42,0.0,9.68
500,42,0.0,9.72
600,42,0.0,9.84
700,42,0.0,10.04
800,42,0.0,10.12
900,42,0.0,10.12
1000,42,0.0,10.08
1100,42,0.0,10.14
1200,42,0.0,10.18
1300,42,0.0,10.14
1400,42,0.0,10.16
1500,42,0.0,10.18
1600,42,0.0,10.08
1700,42,0.0,10.22
1800,42,0.0,10.34
1900,42,0.0,10.28
2000,42,0.0,10.54
2100,42,0.0,10.46
2200,42,0.0,10.28
2300,42,0.0,10.34
2400,42,0.0,10.44
2500,42,0.0,10.76
2600,42,0.0,10.42
2700,42,0.0,10.58
2800,42,0.0,10.78
2900,42,0.0,11.06
3000,42,0.0,10.54
3100,42,0.0,10.82
3200,42,0.0,10.68
3300,42,0.0,10.84
3400,42,0.0,10.88
3500,42,0.0,11.42
3600,42,0.0,11.68
3700,42,0.0,11.5
3800,42,0.0,11.04
3900,42,0.0,11.12
4000,42,0.0,11.34
4100,42,0.0,11.26
4200,42,0.0,11.08
4300,42,0.0,11.54
4400,42,0.0,11.72
4500,42,0.0,11.12
4600,42,0.04,11.7
4700,42,0.02,12.16
4800,42,0.02,11.86
4900,42,0.04,11.84
5000,42,0.04,12.2
5100,42,0.06,12.62
5200,42,0.04,12.82
5300,42,0.08,12.16
5400,42,0.12,13.02
5500,42,0.1,12.38
5600,42,0.02,12.24
5700,42,0.1,12.92
5800,42,0.14,12.68
5900,42,0.18,13.52
6000,42,0.24,13.32
6100,42,0.16,13.36
6200,42,0.16,12.88
6300,42,0.16,12.98
6400,42,0.14,13.12
6500,42,0.24,13.56
6600,42,0.14,12.74
6700,42,0.26,13.58
6800,42,0.14,13.26
6900,42,0.36,13.64
7000,42,0.26,13.52
7100,42,0.34,13.34
7200,42,0.32,13.46
7300,42,0.3,13.32
7400,42,0.34,13.5
7500,42,0.3,13.8
7600,42,0.38,13.56
7700,42,0.42,13.82
7800,42,0.32,13.32
7900,42,0.3,13.86
8000,42,0.4,13.4
8100,42,0.32,13.58
8200,42,0.36,13.48
8300,42,0.3,13.5
8400,42,0.36,13.42
8500,42,0.36,13.2
8600,42,0.36,13.66
8700,42,0.3,13.42
