step,seed,success_rate,mean_score
100,42,0.0,4.64
200,42,0.0,7.98
300,42,0.0,8.8
400,42,0.0,8.8
500,42,0.0,9.16
600,42,0.0,9.74
700,42,0.0,10.0
800,42,0.0,10.02
900,42,0.0,10.08
1000,42,0.0,10.02
1100,42,0.0,10.12
1200,42,0.0,10.18
1300,42,0.0,10.22
1400,42,0.0,10.18
1500,42,0.0,10.34
1600,42,0.0,10.4
1700,42,0.0,10.32
1800,42,0.0,10.48
1900,42,0.0,10.4
2000,42,0.0,10.28
2100,42,0.0,10.56
2200,42,0.0,10.62
2300,42,0.0,10.34
2400,42,0.0,10.72
2500,42,0.0,10.86
2600,42,0.0,11.2
2700,42,0.0,10.94
2800,42,0.0,10.76
2900,42,0.0,10.94
3000,42,0.0,11.26
3100,42,0.0,11.34
3200,42,0.0,11.12
3300,42,0.0,11.12
3400,42,0.0,11.22
3500,42,0.0,11.28
3600,42,0.0,11.52
3700,42,0.0,11.28
3800,42,0.0,11.94
3900,42,0.0,11.78
4000,42,0.0,11.76
4100,42,0.0,11.66
4200,42,0.0,11.78
4300,42,0.04,11.74
4400,42,0.0,11.76
4500,42,0.0,11.54
4600,42,0.02,11.9
4700,42,0.04,12.3
4800,42,0.04,12.28
4900,42,0.04,12.56
5000,42,0.0,12.2
5100,42,0.02,12.42
5200,42,0.04,12.62
5300,42,0.02,12.8
5400,42,0.02,12.74
5500,42,0.02,12.94
5600,42,0.06,13.16
5700,42,0.0,12.82
5800,42,0.08,12.78
5900,42,0.06,12.4
6000,42,0.12,13.26
6100,42,0.08,13.08
6200,42,0.1,12.7
6300,42,0.12,13.06
6400,42,0.06,12.86
6500,42,0.1,13.04
6600,42,0.08,13.12
6700,42,0.24,13.54
6800,42,0.26,13.7
6900,42,0.3,13.9
7000,42,0.3,13.74
7100,42,0.3,13.68
7200,42,0.2,13.42
7300,42,0.3,13.74
7400,42,0.26,13.64
7500,42,0.34,13.62
7600,42,0.28,13.5
7700,42,0.3,13.6
7800,42,0.38,13.58
7900,42,0.36,13.56
8000,42,0.38,13.78
8100,42,0.38,13.32
8200,42,0.34,13.3
8300,42,0.34,13.12
8400,42,0.36,13.42
8500,42,0.34,13.84
8600,42,0.38,13.58
8700,42,0.42,13.94
8800,42,0.46,14.06
8900,42,0.48,14.18
9000,42,0.4,14.0
9100,42,0.42,14.02
9200,42,0.44,14.04
9300,42,0.46,14.04
9400,42,0.44,14.3
9500,42,0.46,14.3
9600,42,0.44,14.38
9700,42,0.4,14.24
9800,42,0.34,13.96
9900,42,0.28,14.14
10000,42,0.26,13.94
10100,42,0.2,13.82
10200,42,0.2,13.58
10300,42,0.24,13.7
10400,42,0.24,13.68
10500,42,0.3,13.96
10600,42,0.38,14.24
10700,42,0.42,14.18
10800,42,0.54,14.38
10900,42,0.48,14.36
11000,42,0.44,14.16
11100,42,0.26,14.02
11200,42,0.32,14.14
11300,42,0.52,14.38
