algorithm,seed,step,success_rate,mean_score,filled_mean,violations_mean,zero_cand_mean
upi_trm,42,100,0.0,5.68,,,
upi_trm,42,200,0.0,6.52,,,
upi_trm,42,300,0.0,7.16,,,
upi_trm,42,400,0.0,8.44,,,
upi_trm,42,500,0.0,9.46,,,
upi_trm,42,600,0.0,9.08,,,
upi_trm,42,700,0.0,8.7,,,
upi_trm,42,800,0.0,9.38,,,
upi_trm,42,900,0.0,9.78,,,
upi_trm,42,1000,0.0,10.0,,,
upi_trm,42,1100,0.0,9.4,,,
upi_trm,42,1200,0.0,9.76,,,
upi_trm,42,1300,0.0,9.72,,,
upi_trm,42,1400,0.0,9.96,,,
upi_trm,42,1500,0.0,9.96,,,
upi_trm,42,1600,0.0,9.76,,,
upi_trm,42,1700,0.0,10.0,,,
upi_trm,42,1800,0.0,10.0,,,
upi_trm,42,1900,0.0,9.96,,,
upi_trm,42,2000,0.0,10.06,,,
upi_trm,42,2100,0.0,10.0,,,
upi_trm,42,2200,0.0,10.0,,,
upi_trm,42,2300,0.0,10.0,,,
upi_trm,42,2400,0.0,10.02,,,
upi_trm,42,2500,0.0,10.0,,,
upi_trm,42,2600,0.0,10.0,,,
upi_trm,42,2700,0.0,10.02,,,
upi_trm,42,2800,0.0,10.04,,,
upi_trm,42,2900,0.0,10.0,,,
upi_trm,42,3000,0.0,10.0,,,
upi_trm,42,3100,0.0,9.92,,,
upi_trm,42,3200,0.0,10.0,,,
upi_trm,42,3300,0.0,10.0,,,
upi_trm,42,3400,0.0,10.0,,,
upi_trm,42,3500,0.0,10.0,,,
upi_trm,42,3600,0.0,10.0,,,
upi_trm,42,3700,0.0,10.0,,,
upi_trm,42,3800,0.0,10.0,,,
upi_trm,42,3900,0.0,10.0,,,
upi_trm,42,4000,0.0,10.0,,,
upi_trm,42,4100,0.0,10.0,,,
upi_trm,42,4200,0.0,10.0,,,
upi_trm,42,4300,0.0,10.0,,,
upi_trm,42,4400,0.0,10.0,,,
