algorithm,seed,final_step,final_success_rate,final_mean_score
upi_trm,42,20000,0.0,10.4
upi_trm,123,20000,0.0,5.96
upi_trm,456,20000,0.0,5.74
no_contraction,42,20000,0.42,14.72
no_contraction,123,20000,0.54,15.06
no_contraction,456,20000,0.48,14.3
ablation_persistent_z,42,20000,0.0,10.22
ablation_persistent_z,123,20000,0.0,7.34
ablation_persistent_z,456,20000,0.0,6.82
persistent_z_no_contraction,42,20000,0.6,14.94
persistent_z_no_contraction,123,20000,0.52,14.78
persistent_z_no_contraction,456,20000,0.58,14.68
ablation_no_conservative,42,20000,0.02,11.54
ablation_no_conservative,123,20000,0.34,14.56
ablation_no_conservative,456,20000,0.0,4.62
a2c,42,20000,0.0,5.68
a2c,123,20000,0.0,7.28
a2c,456,20000,0.0,7.0
dqn,42,20000,0.0,5.1
dqn,123,20000,0.0,5.0
dqn,456,20000,0.0,2.66
