step,seed,success_rate,mean_score
100,42,0.0,5.68
200,42,0.0,6.52
300,42,0.0,7.16
400,42,0.0,8.44
500,42,0.0,9.46
600,42,0.0,9.08
700,42,0.0,8.7
800,42,0.0,9.38
900,42,0.0,9.78
1000,42,0.0,10.0
1100,42,0.0,9.4
1200,42,0.0,9.76
1300,42,0.0,9.72
1400,42,0.0,9.96
1500,42,0.0,9.96
1600,42,0.0,9.76
1700,42,0.0,10.0
1800,42,0.0,10.0
1900,42,0.0,9.96
2000,42,0.0,10.06
2100,42,0.0,10.0
2200,42,0.0,10.0
2300,42,0.0,10.0
2400,42,0.0,10.02
2500,42,0.0,10.0
2600,42,0.0,10.0
2700,42,0.0,10.02
2800,42,0.0,10.04
2900,42,0.0,10.0
3000,42,0.0,10.0
3100,42,0.0,9.92
3200,42,0.0,10.0
3300,42,0.0,10.0
3400,42,0.0,10.0
3500,42,0.0,10.0
3600,42,0.0,10.0
3700,42,0.0,10.0
3800,42,0.0,10.0
3900,42,0.0,10.0
4000,42,0.0,10.0
4100,42,0.0,10.0
4200,42,0.0,10.0
4300,42,0.0,10.0
4400,42,0.0,10.0
4500,42,0.0,10.0
4600,42,0.0,10.0
4700,42,0.0,10.0
4800,42,0.0,10.0
4900,42,0.0,10.0
5000,42,0.0,10.04
5100,42,0.0,10.0
5200,42,0.0,10.0
5300,42,0.0,10.04
5400,42,0.0,10.0
5500,42,0.0,10.0
5600,42,0.0,10.0
5700,42,0.0,10.0
5800,42,0.0,10.06
5900,42,0.0,10.02
6000,42,0.0,10.0
6100,42,0.0,10.0
6200,42,0.0,10.04
6300,42,0.0,10.0
6400,42,0.0,10.0
6500,42,0.0,10.0
6600,42,0.0,10.02
6700,42,0.0,10.02
6800,42,0.0,10.06
6900,42,0.0,10.1
7000,42,0.0,10.0
7100,42,0.0,10.06
7200,42,0.0,10.0
7300,42,0.0,10.06
7400,42,0.0,10.02
7500,42,0.0,10.06
7600,42,0.0,10.06
7700,42,0.0,10.06
7800,42,0.0,10.02
7900,42,0.0,10.04
8000,42,0.0,10.02
8100,42,0.0,10.0
8200,42,0.0,10.02
8300,42,0.0,10.0
8400,42,0.0,10.02
8500,42,0.0,10.1
8600,42,0.0,10.06
8700,42,0.0,10.04
8800,42,0.0,10.06
8900,42,0.0,10.02
9000,42,0.0,10.0
9100,42,0.0,10.06
9200,42,0.0,10.06
9300,42,0.0,10.04
9400,42,0.0,10.02
9500,42,0.0,10.04
9600,42,0.0,10.0
9700,42,0.0,10.04
9800,42,0.0,10.02
9900,42,0.0,10.18
10000,42,0.0,10.06
10100,42,0.0,10.0
10200,42,0.0,10.02
10300,42,0.0,10.02
10400,42,0.0,10.1
10500,42,0.0,10.02
10600,42,0.0,10.02
10700,42,0.0,10.08
10800,42,0.0,10.04
10900,42,0.0,10.0
11000,42,0.0,10.02
11100,42,0.0,10.06
11200,42,0.0,10.08
11300,42,0.0,10.0
11400,42,0.0,10.08
11500,42,0.0,10.08
11600,42,0.0,10.2
11700,42,0.0,10.1
11800,42,0.0,10.16
11900,42,0.0,10.06
12000,42,0.0,10.04
12100,42,0.0,10.06
12200,42,0.0,10.08
12300,42,0.0,10.04
12400,42,0.0,10.1
12500,42,0.0,10.1
12600,42,0.0,10.1
12700,42,0.0,10.08
12800,42,0.0,10.16
12900,42,0.0,10.12
13000,42,0.0,10.16
13100,42,0.0,10.16
13200,42,0.0,10.06
13300,42,0.0,10.1
13400,42,0.0,10.04
13500,42,0.0,10.1
13600,42,0.0,10.04
13700,42,0.0,10.04
13800,42,0.0,10.16
13900,42,0.0,10.06
14000,42,0.0,10.02
14100,42,0.0,10.1
14200,42,0.0,10.1
14300,42,0.0,10.2
14400,42,0.0,10.12
14500,42,0.0,10.2
14600,42,0.0,10.02
14700,42,0.0,10.12
14800,42,0.0,10.22
14900,42,0.0,10.1
15000,42,0.0,10.08
15100,42,0.0,10.12
15200,42,0.0,10.04
15300,42,0.0,10.12
15400,42,0.0,10.1
15500,42,0.0,10.26
15600,42,0.0,10.22
15700,42,0.0,10.1
15800,42,0.0,10.26
15900,42,0.0,10.32
16000,42,0.0,10.12
16100,42,0.0,10.28
16200,42,0.0,10.18
16300,42,0.0,10.18
16400,42,0.0,10.16
16500,42,0.0,10.26
16600,42,0.0,10.26
16700,42,0.0,10.12
16800,42,0.0,10.22
16900,42,0.0,10.36
17000,42,0.0,10.34
17100,42,0.0,10.38
17200,42,0.0,10.32
17300,42,0.0,10.5
17400,42,0.0,10.38
17500,42,0.0,10.38
17600,42,0.0,10.34
17700,42,0.0,10.4
17800,42,0.0,10.34
17900,42,0.0,10.26
18000,42,0.0,10.34
18100,42,0.0,10.28
18200,42,0.0,10.18
18300,42,0.0,10.38
18400,42,0.0,10.4
18500,42,0.0,10.34
18600,42,0.0,10.3
18700,42,0.0,10.3
18800,42,0.0,10.3
18900,42,0.0,10.28
19000,42,0.0,10.26
19100,42,0.0,10.26
19200,42,0.0,10.2
19300,42,0.0,10.32
19400,42,0.0,10.44
19500,42,0.0,10.48
19600,42,0.0,10.42
19700,42,0.0,10.46
19800,42,0.0,10.48
19900,42,0.0,10.46
20000,42,0.0,10.4
100,123,0.0,5.7
200,123,0.0,7.56
300,123,0.0,7.32
400,123,0.0,8.42
500,123,0.0,9.2
600,123,0.0,9.06
700,123,0.0,9.14
800,123,0.0,8.7
900,123,0.0,9.92
1000,123,0.0,10.02
1100,123,0.0,10.02
1200,123,0.0,9.96
1300,123,0.0,10.04
1400,123,0.0,10.04
