algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean,run_id
no_contraction,42,100,0.0,4.24,0,50,10.42,1.64,0.58,42_20260109_214022
no_contraction,42,200,0.0,7.94,0,50,10.14,0.6,0.2,42_20260109_214022
no_contraction,42,300,0.0,8.96,0,50,10.1,0.42,0.06,42_20260109_214022
no_contraction,42,400,0.0,9.68,0,50,10.08,0.1,0.04,42_20260109_214022
no_contraction,42,500,0.0,9.72,0,50,10.04,0.16,0.0,42_20260109_214022
no_contraction,42,600,0.0,9.84,0,50,10.12,0.04,0.04,42_20260109_214022
no_contraction,42,700,0.0,10.04,0,50,10.04,0.0,0.0,42_20260109_214022
no_contraction,42,800,0.0,10.12,0,50,10.12,0.0,0.0,42_20260109_214022
no_contraction,42,900,0.0,10.12,0,50,10.12,0.0,0.0,42_20260109_214022
no_contraction,42,1000,0.0,10.08,0,50,10.08,0.0,0.0,42_20260109_214022
no_contraction,42,1100,0.0,10.14,0,50,10.14,0.0,0.0,42_20260109_214022
no_contraction,42,1200,0.0,10.18,0,50,10.18,0.0,0.0,42_20260109_214022
no_contraction,42,1300,0.0,10.14,0,50,10.14,0.0,0.0,42_20260109_214022
no_contraction,42,1400,0.0,10.16,0,50,10.16,0.0,0.0,42_20260109_214022
no_contraction,42,1500,0.0,10.18,0,50,10.18,0.0,0.0,42_20260109_214022
no_contraction,42,1600,0.0,10.08,0,50,10.08,0.0,0.0,42_20260109_214022
no_contraction,42,1700,0.0,10.22,0,50,10.22,0.0,0.0,42_20260109_214022
no_contraction,42,1800,0.0,10.34,0,50,10.34,0.0,0.0,42_20260109_214022
no_contraction,42,1900,0.0,10.28,0,50,10.28,0.0,0.0,42_20260109_214022
no_contraction,42,2000,0.0,10.54,0,50,10.54,0.0,0.0,42_20260109_214022
no_contraction,42,2100,0.0,10.46,0,50,10.46,0.0,0.0,42_20260109_214022
no_contraction,42,2200,0.0,10.28,0,50,10.28,0.0,0.0,42_20260109_214022
no_contraction,42,2300,0.0,10.34,0,50,10.34,0.0,0.0,42_20260109_214022
no_contraction,42,2400,0.0,10.44,0,50,10.44,0.0,0.0,42_20260109_214022
no_contraction,42,2500,0.0,10.76,0,50,10.76,0.0,0.0,42_20260109_214022
no_contraction,42,2600,0.0,10.42,0,50,10.42,0.0,0.0,42_20260109_214022
no_contraction,42,2700,0.0,10.58,0,50,10.58,0.0,0.0,42_20260109_214022
no_contraction,42,2800,0.0,10.78,0,50,10.78,0.0,0.0,42_20260109_214022
no_contraction,42,2900,0.0,11.06,0,50,11.06,0.0,0.0,42_20260109_214022
no_contraction,42,3000,0.0,10.54,0,50,10.54,0.0,0.0,42_20260109_214022
no_contraction,42,3100,0.0,10.82,0,50,10.82,0.0,0.0,42_20260109_214022
no_contraction,42,3200,0.0,10.68,0,50,10.68,0.0,0.0,42_20260109_214022
no_contraction,42,3300,0.0,10.84,0,50,10.84,0.0,0.0,42_20260109_214022
no_contraction,42,3400,0.0,10.88,0,50,10.88,0.0,0.0,42_20260109_214022
no_contraction,42,3500,0.0,11.42,0,50,11.42,0.0,0.0,42_20260109_214022
no_contraction,42,3600,0.0,11.68,0,50,11.68,0.0,0.0,42_20260109_214022
no_contraction,42,3700,0.0,11.5,0,50,11.5,0.0,0.0,42_20260109_214022
no_contraction,42,3800,0.0,11.04,0,50,11.04,0.0,0.0,42_20260109_214022
no_contraction,42,3900,0.0,11.12,0,50,11.12,0.0,0.0,42_20260109_214022
no_contraction,42,4000,0.0,11.34,0,50,11.34,0.0,0.0,42_20260109_214022
no_contraction,42,4100,0.0,11.26,0,50,11.26,0.0,0.0,42_20260109_214022
no_contraction,42,4200,0.0,11.08,0,50,11.08,0.0,0.0,42_20260109_214022
no_contraction,42,4300,0.0,11.54,0,50,11.54,0.0,0.0,42_20260109_214022
no_contraction,42,4400,0.0,11.72,0,50,11.72,0.0,0.0,42_20260109_214022
no_contraction,42,4500,0.0,11.12,0,50,11.12,0.0,0.0,42_20260109_214022
no_contraction,42,4600,0.04,11.7,2,50,11.7,0.0,0.0,42_20260109_214022
no_contraction,42,4700,0.02,12.16,1,50,12.16,0.0,0.0,42_20260109_214022
no_contraction,42,4800,0.02,11.86,1,50,11.86,0.0,0.0,42_20260109_214022
no_contraction,42,4900,0.04,11.84,2,50,11.84,0.0,0.0,42_20260109_214022
no_contraction,42,5000,0.04,12.2,2,50,12.2,0.0,0.0,42_20260109_214022
no_contraction,42,5100,0.06,12.62,3,50,12.62,0.0,0.0,42_20260109_214022
no_contraction,42,5200,0.04,12.82,2,50,12.82,0.0,0.0,42_20260109_214022
no_contraction,42,5300,0.08,12.16,4,50,12.16,0.0,0.0,42_20260109_214022
no_contraction,42,5400,0.12,13.02,6,50,13.02,0.0,0.0,42_20260109_214022
no_contraction,42,5500,0.1,12.38,5,50,12.38,0.0,0.0,42_20260109_214022
no_contraction,42,5600,0.02,12.24,1,50,12.24,0.0,0.0,42_20260109_214022
no_contraction,42,5700,0.1,12.92,5,50,12.92,0.0,0.0,42_20260109_214022
no_contraction,42,5800,0.14,12.68,7,50,12.68,0.0,0.0,42_20260109_214022
no_contraction,42,5900,0.18,13.52,9,50,13.52,0.0,0.0,42_20260109_214022
no_contraction,42,6000,0.24,13.32,12,50,13.32,0.0,0.0,42_20260109_214022
no_contraction,42,6100,0.16,13.36,8,50,13.36,0.0,0.0,42_20260109_214022
no_contraction,42,6200,0.16,12.88,8,50,12.88,0.0,0.0,42_20260109_214022
no_contraction,42,6300,0.16,12.98,8,50,12.98,0.0,0.0,42_20260109_214022
