algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
ppo_tuned,123,100,0.14,10.64,,,14.8,1.58,0.2
ppo_tuned,123,200,0.2,11.98,,,14.7,1.26,0.04
ppo_tuned,123,300,0.16,11.12,,,14.84,1.56,0.12
ppo_tuned,123,400,0.14,11.22,,,14.8,1.54,0.1
ppo_tuned,123,500,0.14,10.94,,,14.8,1.68,0.1
ppo_tuned,123,600,0.14,11.26,,,14.74,1.44,0.12
ppo_tuned,123,700,0.14,10.76,,,14.74,1.74,0.1
ppo_tuned,123,800,0.16,11.72,,,14.78,1.18,0.14
ppo_tuned,123,900,0.22,12.06,,,14.74,1.04,0.12
ppo_tuned,123,1000,0.18,10.82,,,14.86,1.72,0.12
ppo_tuned,123,1100,0.16,11.18,,,14.82,1.52,0.12
ppo_tuned,123,1200,0.2,11.26,,,14.86,1.4,0.16
ppo_tuned,123,1300,0.2,10.82,,,14.86,1.72,0.12
ppo_tuned,123,1400,0.16,11.44,,,14.72,1.34,0.12
ppo_tuned,123,1500,0.18,11.1,,,14.74,1.42,0.16
ppo_tuned,123,1600,0.22,11.06,,,14.9,1.42,0.2
ppo_tuned,123,1700,0.14,11.16,,,14.76,1.3,0.2
ppo_tuned,123,1800,0.18,11.9,,,14.74,1.12,0.12
ppo_tuned,123,1900,0.22,12.28,,,14.66,1.04,0.06
ppo_tuned,123,2000,0.22,11.86,,,14.74,1.14,0.12
ppo_tuned,123,2100,0.26,11.8,,,14.78,1.24,0.1
ppo_tuned,123,2200,0.18,11.72,,,14.78,1.48,0.02
ppo_tuned,123,2300,0.24,11.72,,,14.84,1.26,0.12
ppo_tuned,123,2400,0.16,11.56,,,14.84,1.44,0.08
ppo_tuned,123,2500,0.18,11.76,,,14.84,1.44,0.04
ppo_tuned,123,2600,0.22,11.84,,,14.8,1.18,0.12
ppo_tuned,123,2700,0.14,11.12,,,14.74,1.56,0.1
ppo_tuned,123,2800,0.16,11.42,,,14.72,1.5,0.06
ppo_tuned,123,2900,0.2,11.98,,,14.76,1.24,0.06
ppo_tuned,123,3000,0.18,11.44,,,14.86,1.46,0.1
ppo_tuned,123,3100,0.26,11.76,,,14.72,1.28,0.08
ppo_tuned,123,3200,0.12,11.44,,,14.72,1.54,0.04
ppo_tuned,123,3300,0.1,11.08,,,14.76,1.54,0.12
ppo_tuned,123,3400,0.18,11.2,,,14.82,1.56,0.1
ppo_tuned,123,3500,0.18,11.3,,,14.72,1.36,0.14
ppo_tuned,123,3600,0.24,12.1,,,14.72,1.06,0.1
ppo_tuned,123,3700,0.18,11.68,,,14.74,1.18,0.14
ppo_tuned,123,3800,0.24,11.76,,,14.8,1.32,0.08
ppo_tuned,123,3900,0.2,12.02,,,14.76,1.22,0.06
ppo_tuned,123,4000,0.26,12.44,,,14.76,0.96,0.08
ppo_tuned,123,4100,0.18,11.78,,,14.74,1.38,0.04
ppo_tuned,123,4200,0.14,10.86,,,14.8,1.72,0.1
