algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
ppo_tuned,42,100,0.12,10.84,,,14.7,1.78,0.06
ppo_tuned,42,200,0.18,11.42,,,14.66,1.32,0.12
ppo_tuned,42,300,0.16,11.06,,,14.78,1.66,0.08
ppo_tuned,42,400,0.12,10.88,,,14.66,1.74,0.06
ppo_tuned,42,500,0.18,10.88,,,14.9,1.76,0.1
ppo_tuned,42,600,0.18,10.58,,,14.74,1.78,0.12
ppo_tuned,42,700,0.2,11.76,,,14.76,1.3,0.08
ppo_tuned,42,800,0.2,10.98,,,14.72,1.52,0.14
ppo_tuned,42,900,0.2,11.58,,,14.76,1.44,0.06
ppo_tuned,42,1000,0.18,10.56,,,14.74,1.94,0.06
ppo_tuned,42,1100,0.22,11.18,,,14.74,1.38,0.16
ppo_tuned,42,1200,0.2,10.7,,,14.82,1.96,0.04
ppo_tuned,42,1300,0.12,10.48,,,14.74,1.98,0.06
ppo_tuned,42,1400,0.2,11.18,,,14.8,1.66,0.06
ppo_tuned,42,1500,0.2,11.14,,,14.78,1.62,0.08
ppo_tuned,42,1600,0.08,10.62,,,14.72,1.9,0.06
ppo_tuned,42,1700,0.2,11.44,,,14.7,1.38,0.1
ppo_tuned,42,1800,0.22,10.64,,,14.74,1.9,0.06
ppo_tuned,42,1900,0.24,11.62,,,14.76,1.32,0.1
ppo_tuned,42,2000,0.24,11.72,,,14.7,1.24,0.1
ppo_tuned,42,2100,0.2,11.58,,,14.74,1.38,0.08
ppo_tuned,42,2200,0.24,12.24,,,14.78,1.12,0.06
ppo_tuned,42,2300,0.12,11.44,,,14.74,1.5,0.06
ppo_tuned,42,2400,0.24,11.94,,,14.76,1.16,0.1
ppo_tuned,42,2500,0.18,11.62,,,14.84,1.46,0.06
ppo_tuned,42,2600,0.18,11.28,,,14.76,1.54,0.08
ppo_tuned,42,2700,0.2,12.4,,,14.72,1.06,0.04
ppo_tuned,42,2800,0.2,12.14,,,14.68,1.12,0.06
ppo_tuned,42,2900,0.16,11.42,,,14.68,1.38,0.1
ppo_tuned,42,3000,0.18,11.42,,,14.7,1.34,0.12
ppo_tuned,42,3100,0.1,10.94,,,14.76,1.76,0.06
ppo_tuned,42,3200,0.2,11.86,,,14.7,1.22,0.08
