algorithm,seed,success_rate_final,success_rate_peak,peak_step,steps_to_100,mean_score_final
no_contraction,42,0.92,0.94,2900,N/A,15.68
no_contraction,123,0.96,0.96,2900,N/A,15.96
no_contraction,456,0.92,0.92,2400,N/A,15.88
persistent_z_no_contraction,42,0.96,0.96,5000,N/A,15.96
persistent_z_no_contraction,123,0.92,0.92,3000,N/A,15.92
persistent_z_no_contraction,456,0.92,0.92,2800,N/A,15.88
episodic_contraction,42,0.32,0.32,200,N/A,11.58
episodic_contraction,123,0.34,0.34,700,N/A,13.22
episodic_contraction,456,0.18,0.24,400,N/A,13.38
persistent_z,42,0.44,0.44,5000,N/A,14.76
persistent_z,123,0.0,0.32,200,N/A,12.6
persistent_z,456,0.22,0.3,4800,N/A,13.7
