algorithm,seed,step,success_rate,mean_score
episodic_contraction,42,100,0.28,13.08
episodic_contraction,42,200,0.28,13.26
episodic_contraction,42,300,0.28,13.5
episodic_contraction,42,400,0.28,14.1
episodic_contraction,42,500,0.18,13.36
episodic_contraction,42,600,0.12,12.92
episodic_contraction,42,700,0.04,12.88
episodic_contraction,42,800,0.12,13.32
episodic_contraction,42,900,0.12,13.32
episodic_contraction,42,1000,0.12,13.24
episodic_contraction,42,1100,0.2,13.8
episodic_contraction,42,1200,0.12,13.32
episodic_contraction,42,1300,0.32,14.52
episodic_contraction,42,1400,0.26,14.16
episodic_contraction,42,1500,0.12,13.24
episodic_contraction,42,1600,0.12,13.32
episodic_contraction,42,1700,0.12,13.24
episodic_contraction,42,1800,0.08,13.08
episodic_contraction,42,1900,0.08,13.08
episodic_contraction,42,2000,0.22,13.92
episodic_contraction,42,2100,0.3,14.4
episodic_contraction,42,2200,0.32,14.52
episodic_contraction,42,2300,0.14,13.44
episodic_contraction,42,2400,0.1,13.2
episodic_contraction,42,2500,0.32,14.56
episodic_contraction,42,2600,0.32,14.56
episodic_contraction,42,2700,0.32,14.52
episodic_contraction,42,2800,0.32,14.52
episodic_contraction,42,2900,0.32,14.56
episodic_contraction,42,3000,0.32,14.52
episodic_contraction,42,3100,0.32,14.62
episodic_contraction,42,3200,0.32,14.6
episodic_contraction,42,3300,0.32,14.64
episodic_contraction,42,3400,0.32,14.56
episodic_contraction,42,3500,0.32,14.56
episodic_contraction,42,3600,0.26,14.16
episodic_contraction,42,3700,0.1,13.2
episodic_contraction,42,3800,0.18,13.68
episodic_contraction,42,3900,0.24,14.16
episodic_contraction,42,4000,0.24,14.04
episodic_contraction,42,4100,0.24,14.04
episodic_contraction,42,4200,0.24,14.04
episodic_contraction,42,4300,0.24,14.04
episodic_contraction,42,4400,0.28,14.28
episodic_contraction,42,4500,0.28,14.28
episodic_contraction,42,4600,0.28,14.28
episodic_contraction,42,4700,0.28,14.28
episodic_contraction,42,4800,0.28,14.28
episodic_contraction,42,4900,0.28,14.36
episodic_contraction,42,5000,0.28,14.28
episodic_contraction,123,100,0.3,13.28
episodic_contraction,123,200,0.32,13.92
episodic_contraction,123,300,0.32,14.24
episodic_contraction,123,400,0.32,14.52
episodic_contraction,123,500,0.34,14.54
episodic_contraction,123,600,0.3,14.4
episodic_contraction,123,700,0.16,13.56
episodic_contraction,123,800,0.12,12.96
episodic_contraction,123,900,0.12,13.24
episodic_contraction,123,1000,0.04,12.76
episodic_contraction,123,1100,0.04,12.76
episodic_contraction,123,1200,0.04,12.76
episodic_contraction,123,1300,0.04,12.76
episodic_contraction,123,1400,0.04,12.9
