algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
contraction_zonly_fast,42,50,0.08,9.62,4,50,14.78,2.58,0.06
contraction_zonly_fast,42,100,0.08,9.8,4,50,14.72,2.46,0.06
contraction_zonly_fast,42,150,0.08,10.06,4,50,14.74,2.34,0.06
contraction_zonly_fast,42,200,0.08,9.9,4,50,14.7,2.4,0.04
contraction_zonly_fast,42,250,0.08,10.04,4,50,14.72,2.34,0.06
contraction_zonly_fast,42,300,0.08,10.2,4,50,14.68,2.24,0.06
contraction_zonly_fast,42,350,0.08,10.06,4,50,14.7,2.32,0.06
contraction_zonly_fast,42,400,0.08,9.8,4,50,14.72,2.46,0.04
contraction_zonly_fast,42,450,0.08,10.12,4,50,14.68,2.28,0.06
contraction_zonly_fast,42,500,0.08,10.04,4,50,14.68,2.32,0.08
contraction_zonly_fast,42,550,0.08,10.02,4,50,14.7,2.34,0.06
contraction_zonly_fast,42,600,0.08,10.02,4,50,14.7,2.34,0.06
contraction_zonly_fast,42,650,0.08,10.02,4,50,14.7,2.34,0.06
contraction_zonly_fast,42,700,0.08,10.02,4,50,14.7,2.34,0.06
contraction_zonly_fast,42,750,0.08,9.96,4,50,14.72,2.38,0.06
contraction_zonly_fast,42,800,0.08,10.14,4,50,14.7,2.28,0.06
contraction_zonly_fast,42,850,0.08,10.14,4,50,14.7,2.28,0.06
contraction_zonly_fast,42,900,0.08,10.02,4,50,14.7,2.34,0.06
contraction_zonly_fast,42,950,0.08,10.14,4,50,14.7,2.28,0.06
contraction_zonly_fast,42,1000,0.08,9.84,4,50,14.72,2.44,0.06
contraction_zonly_fast,42,1050,0.08,10.14,4,50,14.7,2.28,0.06
contraction_zonly_fast,42,1100,0.08,9.9,4,50,14.7,2.4,0.06
contraction_zonly_fast,42,1150,0.06,9.82,3,50,14.7,2.44,0.06
contraction_zonly_fast,42,1200,0.08,9.74,4,50,14.74,2.5,0.06
contraction_zonly_fast,42,1250,0.08,9.98,4,50,14.74,2.38,0.06
contraction_zonly_fast,42,1300,0.06,9.72,3,50,14.72,2.5,0.06
contraction_zonly_fast,42,1350,0.08,9.92,4,50,14.72,2.4,0.06
contraction_zonly_fast,42,1400,0.06,9.62,3,50,14.74,2.56,0.06
contraction_zonly_fast,42,1450,0.06,9.62,3,50,14.74,2.56,0.06
contraction_zonly_fast,42,1500,0.06,9.56,3,50,14.76,2.6,0.08
contraction_zonly_fast,42,1550,0.06,9.72,3,50,14.72,2.5,0.06
contraction_zonly_fast,42,1600,0.06,9.54,3,50,14.74,2.6,0.08
contraction_zonly_fast,42,1650,0.06,9.68,3,50,14.72,2.52,0.08
contraction_zonly_fast,42,1700,0.06,9.6,3,50,14.72,2.56,0.1
contraction_zonly_fast,42,1750,0.06,9.78,3,50,14.7,2.46,0.08
contraction_zonly_fast,42,1800,0.06,9.6,3,50,14.72,2.56,0.1
contraction_zonly_fast,42,1850,0.06,9.66,3,50,14.74,2.54,0.08
contraction_zonly_fast,42,1900,0.06,9.72,3,50,14.72,2.5,0.1
contraction_zonly_fast,42,1950,0.06,9.5,3,50,14.74,2.62,0.1
contraction_zonly_fast,42,2000,0.06,9.78,3,50,14.7,2.46,0.1
contraction_zonly_fast,42,2050,0.06,9.68,3,50,14.72,2.52,0.1
contraction_zonly_fast,42,2100,0.06,9.78,3,50,14.7,2.46,0.1
contraction_zonly_fast,42,2150,0.06,9.76,3,50,14.72,2.48,0.08
contraction_zonly_fast,42,2200,0.08,9.86,4,50,14.7,2.42,0.08
contraction_zonly_fast,42,2250,0.06,9.86,3,50,14.7,2.42,0.08
contraction_zonly_fast,42,2300,0.08,9.86,4,50,14.7,2.42,0.08
contraction_zonly_fast,42,2350,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,2400,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,2450,0.08,10.2,4,50,14.68,2.24,0.08
contraction_zonly_fast,42,2500,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,2550,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,2600,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,2650,0.08,10.02,4,50,14.74,2.36,0.08
contraction_zonly_fast,42,2700,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,2750,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,2800,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,2850,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,2900,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,2950,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3000,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,3050,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3100,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,3150,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3200,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3250,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3300,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3350,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3400,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3450,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,3500,0.08,9.98,4,50,14.7,2.36,0.08
contraction_zonly_fast,42,3550,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3600,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3650,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,3700,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,3750,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,3800,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,3850,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,3900,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,3950,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4000,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4050,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,4100,0.08,10.24,4,50,14.72,2.24,0.08
contraction_zonly_fast,42,4150,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4200,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,4250,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4300,0.08,10.1,4,50,14.7,2.3,0.08
contraction_zonly_fast,42,4350,0.08,10.36,4,50,14.72,2.18,0.08
contraction_zonly_fast,42,4400,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4450,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4500,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4550,0.08,10.36,4,50,14.72,2.18,0.08
contraction_zonly_fast,42,4600,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4650,0.08,10.34,4,50,14.7,2.18,0.08
contraction_zonly_fast,42,4700,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4750,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4800,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4850,0.08,10.34,4,50,14.7,2.18,0.08
contraction_zonly_fast,42,4900,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,42,4950,0.08,10.32,4,50,14.68,2.18,0.08
contraction_zonly_fast,42,5000,0.08,10.22,4,50,14.7,2.24,0.08
contraction_zonly_fast,123,50,0.12,11.0,6,50,14.72,1.86,0.12
contraction_zonly_fast,123,100,0.14,10.92,7,50,14.76,1.92,0.12
contraction_zonly_fast,123,150,0.16,11.04,8,50,14.76,1.86,0.12
contraction_zonly_fast,123,200,0.14,10.92,7,50,14.76,1.92,0.12
contraction_zonly_fast,123,250,0.16,11.06,8,50,14.78,1.86,0.12
contraction_zonly_fast,123,300,0.14,10.82,7,50,14.78,1.98,0.12
contraction_zonly_fast,123,350,0.14,10.94,7,50,14.78,1.92,0.12
contraction_zonly_fast,123,400,0.14,10.74,7,50,14.78,2.02,0.12
contraction_zonly_fast,123,450,0.14,10.86,7,50,14.78,1.96,0.12
contraction_zonly_fast,123,500,0.14,10.68,7,50,14.8,2.06,0.1
contraction_zonly_fast,123,550,0.14,10.78,7,50,14.78,2.0,0.1
contraction_zonly_fast,123,600,0.14,10.68,7,50,14.8,2.06,0.1
contraction_zonly_fast,123,650,0.14,10.68,7,50,14.8,2.06,0.1
contraction_zonly_fast,123,700,0.14,10.76,7,50,14.8,2.02,0.1
contraction_zonly_fast,123,750,0.14,10.58,7,50,14.82,2.12,0.1
contraction_zonly_fast,123,800,0.14,10.68,7,50,14.8,2.06,0.1
contraction_zonly_fast,123,850,0.12,10.56,6,50,14.8,2.12,0.1
contraction_zonly_fast,123,900,0.14,10.68,7,50,14.8,2.06,0.1
contraction_zonly_fast,123,950,0.14,10.58,7,50,14.82,2.12,0.08
contraction_zonly_fast,123,1000,0.14,10.74,7,50,14.78,2.02,0.08
contraction_zonly_fast,123,1050,0.12,10.62,6,50,14.78,2.08,0.08
contraction_zonly_fast,123,1100,0.14,10.76,7,50,14.8,2.02,0.1
contraction_zonly_fast,123,1150,0.14,10.58,7,50,14.82,2.12,0.08
contraction_zonly_fast,123,1200,0.12,10.62,6,50,14.78,2.08,0.08
contraction_zonly_fast,123,1250,0.12,10.54,6,50,14.82,2.14,0.08
contraction_zonly_fast,123,1300,0.14,10.76,7,50,14.8,2.02,0.1
contraction_zonly_fast,123,1350,0.12,10.6,6,50,14.8,2.1,0.06
contraction_zonly_fast,123,1400,0.12,10.6,6,50,14.8,2.1,0.06
contraction_zonly_fast,123,1450,0.12,10.52,6,50,14.8,2.14,0.06
contraction_zonly_fast,123,1500,0.12,10.7,6,50,14.78,2.04,0.08
contraction_zonly_fast,123,1550,0.12,10.5,6,50,14.82,2.16,0.06
contraction_zonly_fast,123,1600,0.12,10.62,6,50,14.78,2.08,0.08
contraction_zonly_fast,123,1650,0.12,10.42,6,50,14.82,2.2,0.06
contraction_zonly_fast,123,1700,0.12,10.62,6,50,14.78,2.08,0.08
contraction_zonly_fast,123,1750,0.12,10.42,6,50,14.82,2.2,0.06
contraction_zonly_fast,123,1800,0.12,10.62,6,50,14.78,2.08,0.08
contraction_zonly_fast,123,1850,0.12,10.3,6,50,14.82,2.26,0.06
contraction_zonly_fast,123,1900,0.12,10.62,6,50,14.78,2.08,0.08
contraction_zonly_fast,123,1950,0.12,10.5,6,50,14.78,2.14,0.08
contraction_zonly_fast,123,2000,0.12,10.72,6,50,14.76,2.02,0.08
contraction_zonly_fast,123,2050,0.12,10.62,6,50,14.78,2.08,0.06
contraction_zonly_fast,123,2100,0.12,10.52,6,50,14.8,2.14,0.06
contraction_zonly_fast,123,2150,0.12,10.4,6,50,14.8,2.2,0.06
contraction_zonly_fast,123,2200,0.12,10.84,6,50,14.8,1.98,0.06
contraction_zonly_fast,123,2250,0.12,10.52,6,50,14.84,2.16,0.06
contraction_zonly_fast,123,2300,0.12,10.62,6,50,14.78,2.08,0.06
contraction_zonly_fast,123,2350,0.12,10.6,6,50,14.8,2.1,0.06
contraction_zonly_fast,123,2400,0.12,10.5,6,50,14.82,2.16,0.06
contraction_zonly_fast,123,2450,0.12,10.42,6,50,14.82,2.2,0.06
contraction_zonly_fast,123,2500,0.12,10.74,6,50,14.82,2.04,0.06
contraction_zonly_fast,123,2550,0.12,10.62,6,50,14.82,2.1,0.06
contraction_zonly_fast,123,2600,0.12,10.64,6,50,14.8,2.08,0.06
contraction_zonly_fast,123,2650,0.12,10.62,6,50,14.82,2.1,0.06
contraction_zonly_fast,123,2700,0.12,10.86,6,50,14.78,1.96,0.08
contraction_zonly_fast,123,2750,0.12,10.72,6,50,14.8,2.04,0.06
contraction_zonly_fast,123,2800,0.12,11.04,6,50,14.76,1.86,0.06
contraction_zonly_fast,123,2850,0.12,10.84,6,50,14.8,1.98,0.06
contraction_zonly_fast,123,2900,0.12,10.94,6,50,14.78,1.92,0.06
contraction_zonly_fast,123,2950,0.12,10.82,6,50,14.78,1.98,0.06
contraction_zonly_fast,123,3000,0.12,10.86,6,50,14.78,1.96,0.08
contraction_zonly_fast,123,3050,0.12,10.82,6,50,14.78,1.98,0.06
