condition,step,V_mean,target_mean,reward_mean,success_rate,mean_score
1_no_contraction_seed42,10,0.15,-14.64,-7.534,,
1_no_contraction_seed42,20,-0.22,-10.1,-5.163,,
1_no_contraction_seed42,30,-0.68,-13.42,-6.912,,
1_no_contraction_seed42,40,-1.47,-10.9,-5.654,,
1_no_contraction_seed42,50,-2.5,-12.93,-6.61,0.0,5.862
1_no_contraction_seed42,60,-3.81,-10.44,-5.344,,
1_no_contraction_seed42,70,-5.37,-11.71,-5.915,,
1_no_contraction_seed42,80,-7.48,-14.69,-7.425,,
1_no_contraction_seed42,90,-9.41,-10.27,-5.086,,
1_no_contraction_seed42,100,-11.19,-10.86,-5.235,0.0,5.925
1_no_contraction_seed42,110,-12.15,-13.87,-6.847,,
1_no_contraction_seed42,120,-12.82,-12.32,-5.912,,
1_no_contraction_seed42,130,-13.49,-15.09,-7.288,,
1_no_contraction_seed42,140,-12.78,-12.23,-5.537,,
1_no_contraction_seed42,150,-11.46,-11.65,-5.044,0.0,6.037
1_no_contraction_seed42,160,-14.47,-14.53,-6.778,,
1_no_contraction_seed42,170,-15.64,-15.73,-7.408,,
1_no_contraction_seed42,180,-14.84,-13.58,-5.811,,
1_no_contraction_seed42,190,-14.72,-16.02,-7.431,,
1_no_contraction_seed42,200,-15.87,-17.01,-8.144,0.0,6.013
1_no_contraction_seed42,210,-15.03,-15.44,-6.896,,
1_no_contraction_seed42,220,-14.73,-15.26,-6.539,,
1_no_contraction_seed42,230,-15.92,-15.41,-6.504,,
1_no_contraction_seed42,240,-15.01,-15.4,-6.393,,
1_no_contraction_seed42,250,-15.77,-15.83,-6.652,0.0,5.95
1_no_contraction_seed42,260,-16.26,-16.46,-7.137,,
1_no_contraction_seed42,270,-15.44,-15.92,-6.47,,
1_no_contraction_seed42,280,-15.13,-16.04,-6.425,,
1_no_contraction_seed42,290,-17.9,-16.19,-6.855,,
1_no_contraction_seed42,300,-16.37,-17.1,-7.413,0.0,5.925
1_no_contraction_seed42,310,-17.24,-17.53,-7.802,,
1_no_contraction_seed42,320,-16.79,-16.38,-6.257,,
1_no_contraction_seed42,330,-15.73,-16.4,-6.241,,
1_no_contraction_seed42,340,-16.55,-15.66,-5.128,,
1_no_contraction_seed42,350,-16.9,-16.66,-6.914,0.0,5.925
1_no_contraction_seed42,360,-15.97,-16.73,-6.112,,
1_no_contraction_seed42,370,-17.64,-17.39,-7.084,,
1_no_contraction_seed42,380,-16.73,-16.79,-6.32,,
1_no_contraction_seed42,390,-15.45,-16.72,-6.294,,
1_no_contraction_seed42,400,-17.01,-16.15,-5.312,0.0,5.925
1_no_contraction_seed42,410,-17.89,-17.77,-7.27,,
1_no_contraction_seed42,420,-16.86,-17.41,-6.6,,
1_no_contraction_seed42,430,-17.44,-16.41,-5.254,,
1_no_contraction_seed42,440,-17.62,-17.53,-7.31,,
1_no_contraction_seed42,450,-18.38,-18.79,-8.384,0.0,5.925
1_no_contraction_seed42,460,-16.75,-17.0,-5.613,,
1_no_contraction_seed42,470,-17.46,-17.92,-7.563,,
1_no_contraction_seed42,480,-17.46,-17.76,-6.192,,
1_no_contraction_seed42,490,-17.45,-17.49,-6.309,,
1_no_contraction_seed42,500,-17.7,-17.45,-6.299,0.0,5.925
1_no_contraction_seed42,510,-18.02,-17.9,-6.753,,
1_no_contraction_seed42,520,-16.76,-17.96,-6.351,,
1_no_contraction_seed42,530,-18.98,-18.31,-6.749,,
1_no_contraction_seed42,540,-17.34,-17.89,-5.995,,
1_no_contraction_seed42,550,-18.83,-18.4,-6.542,0.0,5.925
1_no_contraction_seed42,560,-18.43,-18.64,-6.681,,
1_no_contraction_seed42,570,-17.63,-17.92,-5.443,,
1_no_contraction_seed42,580,-17.81,-18.02,-4.641,,
1_no_contraction_seed42,590,-19.05,-18.31,-7.267,,
1_no_contraction_seed42,600,-18.39,-18.18,-5.032,0.0,5.925
1_no_contraction_seed42,610,-18.28,-18.0,-5.87,,
1_no_contraction_seed42,620,-18.62,-18.92,-7.948,,
1_no_contraction_seed42,630,-19.46,-18.48,-6.287,,
1_no_contraction_seed42,640,-18.88,-18.31,-5.856,,
1_no_contraction_seed42,650,-18.51,-18.71,-6.614,0.0,5.925
1_no_contraction_seed42,660,-18.46,-19.03,-8.311,,
1_no_contraction_seed42,670,-18.83,-18.56,-5.065,,
1_no_contraction_seed42,680,-18.56,-18.63,-6.673,,
1_no_contraction_seed42,690,-18.47,-18.59,-6.275,,
1_no_contraction_seed42,700,-18.94,-18.53,-6.378,0.0,5.925
1_no_contraction_seed42,710,-18.96,-18.87,-6.671,,
1_no_contraction_seed42,720,-18.79,-18.71,-6.333,,
1_no_contraction_seed42,730,-19.22,-18.78,-6.032,,
1_no_contraction_seed42,740,-18.54,-18.85,-6.608,,
1_no_contraction_seed42,750,-18.43,-18.65,-5.426,0.0,5.925
1_no_contraction_seed42,760,-19.27,-18.87,-6.963,,
1_no_contraction_seed42,770,-19.32,-18.97,-6.313,,
1_no_contraction_seed42,780,-18.97,-18.83,-7.213,,
1_no_contraction_seed42,790,-18.82,-19.16,-7.012,,
1_no_contraction_seed42,800,-19.69,-19.18,-8.2,0.0,5.925
1_no_contraction_seed42,810,-19.0,-19.19,-6.657,,
1_no_contraction_seed42,820,-18.72,-18.89,-5.746,,
1_no_contraction_seed42,830,-18.9,-19.09,-6.275,,
1_no_contraction_seed42,840,-19.08,-19.07,-6.309,,
1_no_contraction_seed42,850,-19.29,-18.9,-4.888,0.0,5.925
1_no_contraction_seed42,860,-19.18,-18.92,-5.873,,
1_no_contraction_seed42,870,-19.34,-19.08,-6.126,,
1_no_contraction_seed42,880,-19.02,-19.07,-7.121,,
