model,radius,metric,mean,std,n,ci_lower,ci_upper,p95,max
model_a,0.0,delta_V,1.078160,1.771937,300,,,4.3031,13.5700
model_a,0.0,delta_pi,0.438027,0.651930,300,,,2.0046,3.6095
model_a,0.0,delta_z,33.012118,8.960828,300,,,43.1079,48.7112
model_a,0.0,argmax_agree,0.653333,0.475908,300,0.5978,0.7049,,
model_a,0.0,saturated,0.000000,0.000000,0,,,,
model_a,0.0,z_pre_norm,0.000000,0.000000,300,,,0.0000,0.0000
model_a,0.0,z_post_norm,0.000000,0.000000,300,,,0.0000,0.0000
model_b,0.0,delta_V,0.239973,0.199397,300,,,0.6325,0.9035
model_b,0.0,delta_pi,0.024840,0.040194,300,,,0.0760,0.4862
model_b,0.0,delta_z,17.179743,2.916619,300,,,22.9520,24.7258
model_b,0.0,argmax_agree,0.933333,0.249444,300,0.8993,0.9564,,
model_b,0.0,saturated,0.000000,0.000000,0,,,,
model_b,0.0,z_pre_norm,0.000000,0.000000,300,,,0.0000,0.0000
model_b,0.0,z_post_norm,0.000000,0.000000,300,,,0.0000,0.0000
model_a,10.0,delta_V,0.152062,0.205195,300,,,0.6055,1.0838
model_a,10.0,delta_pi,0.006232,0.011863,300,,,0.0292,0.1005
model_a,10.0,delta_z,4.075804,1.979844,300,,,7.2049,8.4245
model_a,10.0,argmax_agree,0.956667,0.203606,300,0.9273,0.9745,,
model_a,10.0,saturated,1.000000,0.000000,300,,,1.0000,1.0000
model_a,10.0,z_pre_norm,32.317000,0.621269,300,,,33.1913,33.1913
model_a,10.0,z_post_norm,10.000000,0.000000,300,,,10.0000,10.0000
model_b,10.0,delta_V,0.038009,0.053663,300,,,0.1309,0.4305
model_b,10.0,delta_pi,0.000188,0.000235,300,,,0.0006,0.0020
model_b,10.0,delta_z,1.325269,0.225470,300,,,1.7284,1.8089
model_b,10.0,argmax_agree,0.990000,0.099499,300,0.9710,0.9966,,
model_b,10.0,saturated,1.000000,0.000000,300,,,1.0000,1.0000
model_b,10.0,z_pre_norm,32.316933,0.621250,300,,,33.1912,33.1912
model_b,10.0,z_post_norm,10.000000,0.000000,300,,,10.0000,10.0000
model_a,100.0,delta_V,1.078160,1.771937,300,,,4.3031,13.5700
model_a,100.0,delta_pi,0.438027,0.651930,300,,,2.0046,3.6095
model_a,100.0,delta_z,33.012118,8.960828,300,,,43.1079,48.7112
model_a,100.0,argmax_agree,0.653333,0.475908,300,0.5978,0.7049,,
model_a,100.0,saturated,0.000000,0.000000,300,,,0.0000,0.0000
model_a,100.0,z_pre_norm,32.317000,0.621269,300,,,33.1913,33.1913
model_a,100.0,z_post_norm,32.317000,0.621269,300,,,33.1913,33.1913
model_b,100.0,delta_V,0.239973,0.199397,300,,,0.6325,0.9035
model_b,100.0,delta_pi,0.024840,0.040194,300,,,0.0760,0.4862
model_b,100.0,delta_z,17.179743,2.916619,300,,,22.9520,24.7258
model_b,100.0,argmax_agree,0.933333,0.249444,300,0.8993,0.9564,,
model_b,100.0,saturated,0.000000,0.000000,300,,,0.0000,0.0000
model_b,100.0,z_pre_norm,32.316933,0.621250,300,,,33.1912,33.1912
model_b,100.0,z_post_norm,32.316933,0.621250,300,,,33.1912,33.1912
