model,n2,metric,mean,std,n
model_a,4,delta_V,0.14145834,0.18710341324887084,300
model_a,4,delta_pi,0.004310666666666667,0.007358558408788745,300
model_a,4,delta_z,3.4917173933333334,1.6823100693382453,300
model_a,4,argmax_agree,0.9633333333333334,0.18794207145347266,300
model_a,4,saturation,0.0,0.0,0
model_a,4,z_pre_norm,32.317,0.6212690936032993,300
model_a,4,z_post_norm,10.0,0.0,300
model_a,8,delta_V,0.11063108,0.16659680689936288,600
model_a,8,delta_pi,0.003865965,0.009177246426921403,600
model_a,8,delta_z,3.032688425,2.068250624264939,600
model_a,8,argmax_agree,0.9683333333333334,0.17511107586012054,600
model_a,8,saturation,0.0,0.0,0
model_a,8,z_pre_norm,32.25359516666666,0.51622213832158,600
model_a,8,z_post_norm,10.0,0.0,600
model_a,16,delta_V,0.08746988444444444,0.1611273225228421,900
model_a,16,delta_pi,0.0027301855555555555,0.00800148344898982,900
model_a,16,delta_z,2.4082488344444446,2.1858471854660357,900
model_a,16,argmax_agree,0.9777777777777777,0.14740554623801777,900
model_a,16,saturation,0.0,0.0,0
model_a,16,z_pre_norm,32.20426988888889,0.443642778988767,900
model_a,16,z_post_norm,10.0,0.0,900
model_b,4,delta_V,0.03168169333333333,0.03979649845534096,300
model_b,4,delta_pi,0.00015131,0.00018965950340896006,300
model_b,4,delta_z,1.1875822866666668,0.1817103327399715,300
model_b,4,argmax_agree,0.99,0.099498743710662,300
model_b,4,saturation,0.0,0.0,0
model_b,4,z_pre_norm,32.31693333333334,0.6212496778447637,300
model_b,4,z_post_norm,10.0,0.0,300
model_b,8,delta_V,0.02269031666666667,0.04220794850325061,600
model_b,8,delta_pi,9.597666666666667e-05,0.00018991809494855642,600
model_b,8,delta_z,0.7374215633333333,0.6104606244236773,600
model_b,8,argmax_agree,0.995,0.07053367989832943,600
model_b,8,saturation,0.0,0.0,0
model_b,8,z_pre_norm,32.25352,0.5162141857795082,600
model_b,8,z_post_norm,10.0,0.0,600
model_b,16,delta_V,0.015549785555555556,0.03672755023904795,900
model_b,16,delta_pi,6.450888888888889e-05,0.00016261084742035333,900
model_b,16,delta_z,0.4950541611111111,0.607267122499706,900
model_b,16,argmax_agree,0.9966666666666667,0.057638721552635275,900
model_b,16,saturation,0.0,0.0,0
model_b,16,z_pre_norm,32.204191111111115,0.44364047847689714,900
model_b,16,z_post_norm,10.0,0.0,900
