model,n_train,n2,metric,mean,std,n,ci_lower,ci_upper,p95,max
model_a,2,4,delta_V,0.133803,0.176636,2415,,,0.5087,1.5311
model_a,2,4,delta_pi,0.004614,0.009178,2415,,,0.0186,0.1829
model_a,2,4,delta_z,3.471292,1.631085,2415,,,6.0503,9.8719
model_a,2,4,argmax_agree,0.961077,0.193412,2415,0.9526,0.9681,,
model_a,2,4,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_a,2,4,z_pre_norm,32.317000,0.621269,2415,,,33.1913,33.1913
model_a,2,4,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_a,2,8,delta_V,0.152467,0.226301,2415,,,0.5473,3.3106
model_a,2,8,delta_pi,0.006175,0.013181,2415,,,0.0251,0.2778
model_a,2,8,delta_z,4.016606,1.949398,2415,,,7.0351,11.5334
model_a,2,8,argmax_agree,0.951139,0.215578,2415,0.9418,0.9590,,
model_a,2,8,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_a,2,8,z_pre_norm,32.317000,0.621269,2415,,,33.1913,33.1913
model_a,2,8,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_a,2,16,delta_V,0.155742,0.237461,2415,,,0.5635,3.1748
model_a,2,16,delta_pi,0.006416,0.014034,2415,,,0.0279,0.3616
model_a,2,16,delta_z,4.085816,1.993778,2415,,,7.2658,11.2932
model_a,2,16,argmax_agree,0.952795,0.212077,2415,0.9436,0.9606,,
model_a,2,16,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_a,2,16,z_pre_norm,32.317000,0.621269,2415,,,33.1913,33.1913
model_a,2,16,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_b,2,4,delta_V,0.099618,0.254219,2415,,,0.7391,1.6388
model_b,2,4,delta_pi,0.000238,0.000426,2415,,,0.0008,0.0054
model_b,2,4,delta_z,1.250870,0.293158,2415,,,1.8640,2.5444
model_b,2,4,argmax_agree,0.990476,0.097124,2415,0.9857,0.9936,,
model_b,2,4,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_b,2,4,z_pre_norm,32.316933,0.621250,2415,,,33.1912,33.1912
model_b,2,4,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_b,2,8,delta_V,0.119591,0.311862,2415,,,0.8602,2.0329
model_b,2,8,delta_pi,0.000313,0.000617,2415,,,0.0011,0.0076
model_b,2,8,delta_z,1.407249,0.375413,2415,,,2.1517,3.1348
model_b,2,8,argmax_agree,0.990062,0.099192,2415,0.9853,0.9933,,
model_b,2,8,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_b,2,8,z_pre_norm,32.316933,0.621250,2415,,,33.1912,33.1912
model_b,2,8,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
model_b,2,16,delta_V,0.120398,0.314340,2415,,,0.8619,2.0522
model_b,2,16,delta_pi,0.000316,0.000627,2415,,,0.0011,0.0077
model_b,2,16,delta_z,1.410390,0.379239,2415,,,2.1562,3.1578
model_b,2,16,argmax_agree,0.990062,0.099192,2415,0.9853,0.9933,,
model_b,2,16,saturated,1.000000,0.000000,2415,,,1.0000,1.0000
model_b,2,16,z_pre_norm,32.316933,0.621250,2415,,,33.1912,33.1912
model_b,2,16,z_post_norm,10.000000,0.000000,2415,,,10.0000,10.0000
